dia,id_vuelo,fase,origen,destino_programado,destino_final,minuto_inicio,minuto_fin,duracion_min,distancia_km,velocidad_kmh,viento,combustible_consumido_l,nota
21,PMIEXTERIOR00079,rodaje,PMI,EXTERIOR,EXTERIOR,29160.0,29164.151535259523,4.151535259523371,4.0,57.80993897363296,neutro,106.55607166113025,
21,XRYMAD00004,rodaje,XRY,MAD,MAD,29160.0,29164.229335228778,4.229335228777927,4.0,56.746506724484306,neutro,93.75026423793223,
21,VLCPMI00681,rodaje,VLC,PMI,PMI,29160.0,29164.38855094142,4.388550941421272,4.0,54.687755298637335,neutro,97.27954586815085,
21,MADTFN00210,rodaje,MAD,TFN,TFN,29160.0,29164.393077970577,4.3930779705769964,4.0,54.631400036033455,neutro,112.75566791143963,
21,SPCLPA00123,rodaje,SPC,LPA,LPA,29160.0,29166.544358985175,6.544358985174767,4.0,36.67280486044973,neutro,145.06662417134677,
21,VLCPMI00681,despegue,VLC,PMI,PMI,29164.38855094142,29169.046858509726,4.6583075683047355,22.10293862974557,284.6905873730779,en_contra,339.28006789142717,
21,XRYMAD00004,despegue,XRY,MAD,MAD,29164.229335228778,29170.026334911425,5.796999682646856,37.52031047164376,388.34203062623885,a_favor,312.0718162491396,
21,SPCLPA00123,despegue,SPC,LPA,LPA,29166.544358985175,29171.39141106885,4.847052083674498,19.558240768093388,242.10477334011094,en_contra,353.0269600942554,
21,LEISVQ00043,rodaje,LEI,SVQ,SVQ,29168.0,29172.743738625562,4.743738625562401,4.0,50.59300668607648,neutro,105.15287286659914,
21,VLCEXTERIOR00389,rodaje,VLC,EXTERIOR,EXTERIOR,29173.0,29177.37270156909,4.3727015690892586,4.0,54.8859775148227,neutro,112.23267360659486,
21,BCNPMI00588,rodaje,BCN,PMI,PMI,29173.0,29177.69613869129,4.696138691291708,4.0,51.10581602817854,neutro,104.09774099031463,
21,LEISVQ00043,despegue,LEI,SVQ,SVQ,29172.743738625562,29178.947849987744,6.20411136218172,25.587390935758386,247.45581865333327,en_contra,451.86611087901343,
21,SCQBIO00384,rodaje,SCQ,BIO,BIO,29175.0,29180.844251814393,5.844251814392919,4.0,41.06599229843275,neutro,129.54758188573064,
21,BCNEXTERIOR00359,rodaje,BCN,EXTERIOR,EXTERIOR,29175.0,29181.156148134272,6.156148134272371,4.0,38.98541665427164,neutro,158.00780211297416,
21,BCNPMI00588,despegue,BCN,PMI,PMI,29177.69613869129,29181.282640227353,3.586501536061405,16.123643274483953,269.7387932896551,en_contra,261.21686187656394,
21,SPCLPA00123,crucero,SPC,LPA,LPA,29171.39141106885,29181.418143308572,10.02673223972306,188.24806739289886,1126.4770788259202,a_favor,426.13612018826865,
21,MADTFN00212,rodaje,MAD,TFN,TFN,29177.0,29181.52629701688,4.526297016880562,4.0,53.02347572526759,neutro,116.17495676664099,
21,LPATFN00174,rodaje,LPA,TFN,TFN,29177.0,29182.95499849089,5.9549984908917395,4.0,40.302277215865715,neutro,132.00246654811073,
21,GRXTFN00036,rodaje,GRX,TFN,TFN,29179.0,29183.564810863336,4.564810863335879,4.0,52.576110420621504,neutro,117.16347882562101,
21,VLCPMI00681,crucero,VLC,PMI,PMI,29169.046858509726,29184.41738310614,15.370524596415635,212.74078431130107,830.4496686894709,en_contra,883.8051642939915,
21,MAHMAD00454,rodaje,MAH,MAD,MAD,29179.0,29184.749396126248,5.74939612624803,4.0,41.74351440220449,neutro,127.44494746515757,
21,LPATFN00174,despegue,LPA,TFN,TFN,29182.95499849089,29185.0123270538,2.0573285629070597,9.005246946019318,262.62932742122155,en_contra,149.84209699851112,
21,SPCLPA00123,aproximacion,SPC,LPA,LPA,29181.418143308572,29185.481489728536,4.063346419963636,24.447800960116737,361.0,en_contra,163.54969340355103,
21,ACELPA00110,rodaje,ACE,LPA,LPA,29183.0,29187.039348041162,4.039348041162157,4.0,59.4155288314525,neutro,89.53888157911636,
21,SDRAGP00336,rodaje,SDR,AGP,AGP,29183.0,29187.822916275327,4.822916275326861,4.0,49.762423044285,neutro,123.78818440006509,
21,TFSSCQ00242,rodaje,TFS,SCQ,SCQ,29183.0,29188.42040407418,5.420404074178805,4.0,44.27714183585172,neutro,139.12370457056412,
21,VLCPMI00681,aproximacion,VLC,PMI,PMI,29184.41738310614,29189.009406367168,4.592023261026043,27.62867328718196,361.0,en_contra,184.82893625635577,
21,SPCLPA00123,aterrizaje,SPC,LPA,LPA,29185.95499849089,29189.111563775074,3.156565284181852,12.223900480058369,232.35192773586473,en_contra,127.05175268827469,
21,SCQBIO00384,despegue,SCQ,BIO,BIO,29180.844251814393,29189.39666455637,8.552412741977605,36.05581486806779,252.95188122360554,en_contra,622.9007280407303,
21,BCNPMI00588,crucero,BCN,PMI,PMI,29181.282640227353,29189.47595687616,8.193316648805194,155.19006651690805,1136.4633383690325,a_favor,348.2159575741743,
21,ACELPA00110,despegue,ACE,LPA,LPA,29187.039348041162,29189.883225053778,2.843877012615849,16.637196228879173,351.0108803244167,a_favor,153.09537917916683,
21,LPATFN00174,crucero,LPA,TFN,TFN,29185.0123270538,29191.13753716758,6.125210113779758,86.67550185543593,849.037015012146,neutro,306.2605056890104,
21,VLCPMI00681,aterrizaje,VLC,PMI,PMI,29189.009406367168,29192.58958552284,3.5801791556732496,13.81433664359098,231.51360939635953,en_contra,144.1022110158368,
21,LEISVQ00043,crucero,LEI,SVQ,SVQ,29178.947849987744,29192.64287403398,13.69502404623563,246.27863775667447,1078.9844702362748,a_favor,582.0385219650093,
21,BCNPMI00588,aproximacion,BCN,PMI,PMI,29189.47595687616,29193.47595687616,4.0,20.154554093104945,361.0,en_contra,161.0,
21,TFSSPC00144,rodaje,TFS,SPC,SPC,29188.0,29193.639533431582,5.639533431582095,4.0,42.55671198895637,neutro,125.00965773343957,
21,PMIMAD00458,rodaje,PMI,MAD,MAD,29188.0,29194.64630711081,6.646307110808266,4.0,36.11027838446642,neutro,147.32647428961687,
21,XRYMAD00004,crucero,XRY,MAD,MAD,29170.026334911425,29195.0455867776,25.019251866175182,361.1329882895712,866.0522470165474,neutro,1250.9625933087768,
21,LPATFN00174,aproximacion,LPA,TFN,TFN,29191.13753716758,29195.13753716758,4.0,11.256558682524147,380.0,neutro,140.0,
21,MADTFN00210,despegue,MAD,TFN,TFN,29164.393077970577,29195.52702414056,31.133946169982664,141.66964334029726,273.0196343890839,en_contra,2625.629460335128,
21,TFSSPC00144,despegue,TFS,SPC,SPC,29193.639533431582,29195.639533431582,2.0,10.562956179663004,361.5519699084928,a_favor,107.66666666666667,
21,MADEXTERIOR00370,rodaje,MAD,EXTERIOR,EXTERIOR,29189.0,29195.656598354173,6.656598354173184,4.0,36.05445112209898,neutro,170.85269109045817,
21,BCNPMI00577,rodaje,BCN,PMI,PMI,29190.0,29196.043875645784,6.043875645784283,4.0,39.70961913608392,neutro,133.97257681491445,
21,BCNPMI00588,aterrizaje,BCN,PMI,PMI,29193.47595687616,29196.093511418865,2.6175545427067846,10.077277046552473,230.9929412846589,en_contra,105.35657034399823,
21,MAHMAD00454,despegue,MAH,MAD,MAD,29184.749396126248,29196.13619937355,11.38680324730376,53.40515263096956,281.40550848785153,en_contra,829.3388365118382,
21,LEISVQ00043,aproximacion,LEI,SVQ,SVQ,29192.64287403398,29196.64287403398,4.0,31.984238669697984,494.0,a_favor,119.0,
21,MADEXTERIOR00410,rodaje,MAD,EXTERIOR,EXTERIOR,29193.0,29197.012996583708,4.012996583707718,4.0,59.805682609950765,neutro,103.00024564848071,
21,LPATFN00174,aterrizaje,LPA,TFN,TFN,29195.13753716758,29197.13753716758,2.0,5.628279341262074,231.3904615947744,en_contra,80.5,
21,AGPMAD00414,rodaje,AGP,MAD,MAD,29193.0,29197.591433850223,4.591433850222529,4.0,52.271252909015175,neutro,101.7767836799348,
21,BIOMAD00373,rodaje,BIO,MAD,MAD,29192.0,29198.211876887326,6.211876887326071,4.0,38.635665895056086,neutro,137.696604335756,
21,SDRAGP00336,despegue,SDR,AGP,AGP,29187.822916275327,29198.664692245704,10.841775970377057,60.13348017984191,332.78761898873273,a_favor,675.8040354867385,
21,TFNLPA00168,rodaje,TFN,LPA,LPA,29194.0,29199.02589958787,5.02589958786848,4.0,47.752645233768945,neutro,111.40744086440448,
21,PMIEXTERIOR00079,despegue,PMI,EXTERIOR,EXTERIOR,29164.151535259523,29199.414655732027,35.26312047250394,144.0,245.0151853899945,en_contra,2973.8564931810743,
21,BCNPMI00577,despegue,BCN,PMI,PMI,29196.043875645784,29199.490277496454,3.4464018506696448,16.123643274483953,280.70394527002844,en_contra,251.01293479047558,
21,LEISVQ00043,aterrizaje,LEI,SVQ,SVQ,29196.64287403398,29199.628245954707,2.98537192072763,15.992119334848992,321.409588342827,a_favor,88.81481464161341,
21,OVDTFN00217,rodaje,OVD,TFN,TFN,29195.0,29200.562374189278,5.562374189277762,4.0,43.14704330078937,neutro,142.7676041914859,
21,SPCTFN00137,rodaje,SPC,TFN,TFN,29194.0,29200.80241241015,6.802412410150282,4.0,35.281600927608864,neutro,150.78680842503798,
21,TFNLPA00168,despegue,TFN,LPA,LPA,29199.02589958787,29201.13077694539,2.1048773575203086,9.005246946019318,256.6965789388637,en_contra,153.3052342060115,
21,ACELPA00110,crucero,ACE,LPA,LPA,29189.883225053778,29201.429136763993,11.545911710214568,160.13301370296205,832.154364533903,en_contra,663.8899233373078,
21,LPAEXTERIOR00235,rodaje,LPA,EXTERIOR,EXTERIOR,29195.0,29201.630374620254,6.6303746202538605,4.0,36.197049751428764,neutro,170.17961525322525,
21,BIOMAD00373,despegue,BIO,MAD,MAD,29198.211876887326,29202.398654287023,4.186777399696439,25.363009941539996,363.4730130632735,a_favor,225.3881833502535,
21,BIOBCN00361,rodaje,BIO,BCN,BCN,29196.0,29202.445065776134,6.445065776133561,4.0,37.237789083356404,neutro,142.86562470428188,
21,BCNEXTERIOR00539,rodaje,BCN,EXTERIOR,EXTERIOR,29197.0,29202.775280504917,5.775280504916736,4.0,41.556423068224476,neutro,148.23219962620306,
