dia,id_vuelo,fase,origen,destino_programado,destino_final,minuto_inicio,minuto_fin,duracion_min,distancia_km,velocidad_kmh,viento,combustible_consumido_l,nota
16,SCQPMI00672,rodaje,SCQ,PMI,PMI,21960.0,21964.104966808376,4.104966808376048,4.0,58.46575897040506,neutro,105.36081474830674,
16,BCNAGP00561,rodaje,BCN,AGP,AGP,21960.0,21964.32491079929,4.324910799288773,4.0,55.49247398105355,neutro,111.00604384845359,
16,LPAFUE00279,rodaje,LPA,FUE,FUE,21960.0,21964.53537595093,4.5353759509307565,4.0,52.91733311560736,neutro,100.53416691233305,
16,PMIBCN00615,rodaje,PMI,BCN,BCN,21960.0,21964.79654681549,4.7965468154907285,4.0,50.03599656837321,neutro,106.32345441007304,
16,PMIMAD00503,rodaje,PMI,MAD,MAD,21961.0,21965.04931947619,4.049319476191158,4.0,59.26921829981995,neutro,89.75991505553839,
16,PMIALC00544,rodaje,PMI,ALC,ALC,21960.0,21965.57295088592,5.572950885918544,4.0,43.0651561287515,neutro,123.53374463788883,
16,PMIMAD00492,rodaje,PMI,MAD,MAD,21962.0,21966.038627943497,4.0386279434969765,4.0,59.426122771831906,neutro,89.5229194141821,
16,BCNMAD00448,rodaje,BCN,MAD,MAD,21960.0,21966.192422453147,6.192422453146719,4.0,38.7570456983321,neutro,137.2653643780941,
16,LPABCN00266,rodaje,LPA,BCN,BCN,21963.0,21967.02724244377,4.027242443771684,4.0,59.59412758256782,neutro,103.36588939011321,
16,LPAFUE00279,despegue,LPA,FUE,FUE,21964.53537595093,21967.510140324746,2.9747643738155602,12.803501400051557,258.2423303053743,en_contra,216.66200522610794,
16,MADBCN00454,rodaje,MAD,BCN,BCN,21963.0,21967.785097597694,4.785097597694403,4.0,50.15571680621841,neutro,106.06966341552545,
16,PMIBCN00615,despegue,PMI,BCN,BCN,21964.79654681549,21968.746396594568,3.94984977907734,16.123643274483953,244.92541503569768,en_contra,287.68072557609156,
16,LPABCN00267,rodaje,LPA,BCN,BCN,21963.0,21968.86746743645,5.867467436448351,4.0,40.90350779095503,neutro,150.5983308688786,
16,IBZVLC00082,rodaje,IBZ,VLC,VLC,21967.0,21971.504178408024,4.504178408024018,4.0,53.28385740059925,neutro,99.8426213778616,
16,LPAVLC00325,rodaje,LPA,VLC,VLC,21969.0,21973.465231234833,4.465231234833482,4.0,53.748616225690554,neutro,114.6076016940445,
16,PMIALC00544,despegue,PMI,ALC,ALC,21967.79654681549,21973.728517631007,5.931970815516252,25.467446860622445,257.5951330778897,en_contra,432.0452077301794,
16,IBZVLC00082,despegue,IBZ,VLC,VLC,21971.504178408024,21973.771845583284,2.267667175259703,13.93092559029039,368.59709596567143,a_favor,122.07608293481685,
16,PMIBCN00610,rodaje,PMI,BCN,BCN,21971.0,21975.27176320316,4.271763203159935,4.0,56.182889496871184,neutro,94.69075100340417,
16,SCQACE00116,rodaje,SCQ,ACE,ACE,21969.0,21975.28126910915,6.281269109149434,4.0,38.20883898292807,neutro,161.2192404682153,
16,BCNMAD00448,despegue,BCN,MAD,MAD,21967.32491079929,21975.79144987928,8.466539079992799,38.82179147390006,275.11920354066456,en_contra,616.6462629929343,
16,LPAFUE00279,crucero,LPA,FUE,FUE,21967.510140324746,21976.50589926537,8.995758940622181,123.23370097549623,821.9453308314781,neutro,449.7879470310998,
16,MADBCN00454,despegue,MAD,BCN,BCN,21967.785097597694,21976.93342095891,9.148323361216171,38.82179147390006,254.61578001377154,en_contra,666.3028848085034,
16,BCNAGP00561,despegue,BCN,AGP,AGP,21964.32491079929,21977.2757703295,12.950859530210437,61.323480343715495,284.1053763296901,en_contra,1092.1891537142767,
16,PMIMAD00492,despegue,PMI,MAD,MAD,21967.79654681549,21977.31691447464,9.520367659148178,43.87607905044889,276.5192309035477,en_contra,693.4001111746967,
16,PMIMAD00503,despegue,PMI,MAD,MAD,21967.79654681549,21977.318754498443,9.522207682952285,43.87607905044889,276.46579770991974,en_contra,693.5341262416921,
16,PMIBCN00610,despegue,PMI,BCN,BCN,21975.27176320316,21978.809753788046,3.537990584885847,16.123643274483953,273.4373009928469,en_contra,257.68364759911856,
16,PMIBCN00615,crucero,PMI,BCN,BCN,21968.746396594568,21980.183949743263,11.43755314869486,155.19006651690805,814.1080412883043,en_contra,657.6593060499285,
16,LPAFUE00279,aproximacion,LPA,FUE,FUE,21976.50589926537,21980.50589926537,4.0,16.00437675006445,494.0,a_favor,119.0,
16,BCNMAH00571,rodaje,BCN,MAH,MAH,21976.0,21980.51731875273,4.517318752728897,4.0,53.128860976423624,neutro,100.1338990188552,
16,SCQPMI00672,despegue,SCQ,PMI,PMI,21964.104966808376,21982.41029674168,18.305329933304165,80.40904206393961,263.5594409614541,en_contra,1543.749491041908,
16,LPAFUE00279,aterrizaje,LPA,FUE,FUE,21980.50589926537,21982.50589926537,2.0,8.002188375032224,314.0074195746325,a_favor,59.5,
16,IBZVLC00082,crucero,IBZ,VLC,VLC,21973.771845583284,21983.693431335218,9.92158575193389,134.085158806545,810.8693236688756,en_contra,570.49118073615,
16,PMIBCN00615,aproximacion,PMI,BCN,BCN,21980.183949743263,21984.183949743263,4.0,20.154554093104945,361.0,en_contra,161.0,
16,BCNMAH00571,despegue,BCN,MAH,MAH,21980.51731875273,21984.61605527522,4.098736522490071,19.26489636847561,282.0122190743286,en_contra,298.5246433880565,
16,PMIBCN00615,aterrizaje,PMI,BCN,BCN,21984.183949743263,21986.733488954855,2.549539211591764,10.077277046552473,237.15525536691212,en_contra,102.61895326659358,
16,SCQBIO00399,rodaje,SCQ,BIO,BIO,21983.0,21987.302272303405,4.302272303404607,4.0,55.784474592660715,neutro,95.36703605880919,
16,IBZVLC00082,aproximacion,IBZ,VLC,VLC,21983.693431335218,21987.693431335218,4.0,17.41365698786299,361.0,en_contra,161.0,
16,BCNACE00092,rodaje,BCN,ACE,ACE,21985.0,21989.250766872003,4.250766872002714,4.0,56.460400494011374,neutro,109.10301638142607,
16,BIOAGP00362,rodaje,BIO,AGP,AGP,21985.0,21989.330988613394,4.330988613393856,4.0,55.41459962693306,neutro,111.16204107709669,
16,IBZVLC00082,aterrizaje,IBZ,VLC,VLC,21987.693431335218,21989.960550732634,2.2671193974165362,8.706828493931495,230.42884738729524,en_contra,91.25155574598378,
16,PMIBCN00610,crucero,PMI,BCN,BCN,21978.809753788046,21989.96863661832,11.158882830273797,155.19006651690805,834.4387276613343,en_contra,641.6357627406679,
16,MADEXTERIOR00213,rodaje,MAD,EXTERIOR,EXTERIOR,21987.0,21991.733441737335,4.7334417373349424,4.0,50.70306413767487,neutro,121.4916712582429,
16,MADLPA00285,rodaje,MAD,LPA,LPA,21986.0,21991.975433104646,5.975433104646072,4.0,40.16445265087592,neutro,153.36944968589432,
16,PMIALC00544,crucero,PMI,ALC,ALC,21973.728517631007,21991.980239222263,18.251721591255773,245.12417603349104,805.8116867755944,en_contra,1049.4739914972863,
16,PMIAGP00652,rodaje,PMI,AGP,AGP,21986.0,21992.202372674536,6.202372674535582,4.0,38.694869301435446,neutro,159.19423197978045,
16,PMIBCN00610,aproximacion,PMI,BCN,BCN,21989.96863661832,21993.96863661832,4.0,20.154554093104945,361.0,en_contra,161.0,
16,BCNMAH00571,crucero,BCN,MAH,MAH,21984.61605527522,21994.52404947072,9.907994195502397,185.42462754657777,1122.8789029616898,a_favor,421.0897533087816,
16,TFSMAD00243,rodaje,TFS,MAD,MAD,21989.0,21995.495344152627,6.495344152626785,4.0,36.94954329756337,neutro,166.71383325071355,
16,ALCMAD00446,rodaje,ALC,MAD,MAD,21991.0,21995.762633927417,4.7626339274174825,4.0,50.39228369375844,neutro,105.57171872444692,
16,SCQBIO00399,despegue,SCQ,BIO,BIO,21987.302272303405,21995.976338195993,8.67406589258826,36.05581486806779,249.4042492728237,en_contra,631.7611325102037,
16,PMIALC00544,aproximacion,PMI,ALC,ALC,21991.980239222263,21995.980239222263,4.0,31.834308575778056,494.0,a_favor,119.0,
16,PMIBCN00610,aterrizaje,PMI,BCN,BCN,21993.96863661832,21996.615180203546,2.646543585226027,10.077277046552473,228.46274898649042,en_contra,106.52337930532082,
16,BCNMAD00448,crucero,BCN,MAD,MAD,21975.79144987928,21996.631394749467,20.839944870185718,373.65974293628807,1075.7986509001273,a_favor,885.6976569828321,
16,MADBCN00454,crucero,MAD,BCN,BCN,21976.93342095891,21997.2617093821,20.328288423188496,373.65974293628807,1102.8761551121204,a_favor,863.9522579855468,
16,BCNMAH00571,aproximacion,BCN,MAH,MAH,21994.52404947072,21998.52645176334,4.002402292619081,24.081120460594516,361.0,en_contra,161.0966922779384,
16,MADEXTERIOR00425,rodaje,MAD,EXTERIOR,EXTERIOR,21995.0,22000.29475723691,5.294757236908481,4.0,45.32785721071636,neutro,135.898769080654,
16,BIOAGP00362,despegue,BIO,AGP,AGP,21989.330988613394,22000.323997888914,10.993009275520308,59.84768416454363,326.64950605193417,a_favor,685.2309115073522,
16,MADBIO00377,rodaje,MAD,BIO,BIO,21995.0,22000.689201014226,5.689201014225546,4.0,42.18518547681901,neutro,126.11062248199357,
16,BIOALC00364,rodaje,BIO,ALC,ALC,21997.0,22001.18831472026,4.188314720260678,4.0,57.302284099876,neutro,92.8409762990846,
16,BCNMAH00571,aterrizaje,BCN,MAH,MAH,21998.52645176334,22001.67278429945,3.1463325361110037,12.040560230297258,229.61133495140587,en_contra,126.63988457852845,
16,ALCMAD00446,despegue,ALC,MAD,MAD,21995.762633927417,22001.754895994163,5.992262066745752,28.547999416164465,285.84864044513495,neutro,379.5099308938179,
16,PMIALC00544,aterrizaje,PMI,ALC,ALC,21998.762633927417,22002.69725224301,3.93461831559398,15.917154287889028,242.72475261164004,neutro,137.7116410457266,
16,BIOBCN00371,rodaje,BIO,BCN,BCN,21999.0,22003.025486446913,4.025486446913419,4.0,59.62012372044899,neutro,89.23161623992577,
16,SCQACE00116,despegue,SCQ,ACE,ACE,21975.28126910915,22003.83461489641,28.553345787258877,129.26857602030537,271.6359273272724,en_contra,2407.998828058829,
16,OVDMAD00336,rodaje,OVD,MAD,MAD,21999.0,22003.887639259476,4.887639259475691,4.0,49.10346023077166,neutro,108.34267025170084,
16,BCNMAD00448,aproximacion,BCN,MAD,MAD,21996.631394749467,22004.696863892244,8.065469142777147,48.52723934237508,361.0,en_contra,324.63513299677516,
16,LPABCN00266,despegue,LPA,BCN,BCN,21967.53537595093,22005.138149890856,37.6027739399251,174.0125794188407,277.6591637045399,en_contra,3171.1672689336747,
16,MADBCN00454,aproximacion,MAD,BCN,BCN,21997.2617093821,22005.327178524876,8.065469142777147,48.52723934237508,361.0,en_contra,324.63513299677516,
16,MADEXTERIOR00073,rodaje,MAD,EXTERIOR,EXTERIOR,22001.0,22005.327378746944,4.327378746944305,4.0,55.460826064602614,neutro,111.06938783826674,
16,PMIAGP00652,despegue,PMI,AGP,AGP,21992.202372674536,22006.30891476037,14.106542085835827,56.74652295045615,241.3625788878475,en_contra,1189.6517159055154,
16,BCNAGP00561,crucero,BCN,AGP,AGP,21977.2757703295,22007.536439550713,30.260669221213902,590.2384983082616,1170.3082188833584,a_favor,1543.2941302818385,
16,LPAVLC00325,despegue,LPA,VLC,VLC,21973.53537595093,22007.582947853105,34.04757190217424,150.40992223016048,265.0584117933462,en_contra,2871.3452304165558,
16,PMIMAD00492,crucero,PMI,MAD,MAD,21977.31691447464,22007.8916599356,30.57474546096273,422.3072608605705,828.7374193837351,en_contra,1758.047864005455,
16,BIOALC00364,despegue,BIO,ALC,ALC,22001.18831472026,22008.97988548378,7.7915707635183935,47.29132409187333,364.17296738138236,a_favor,419.4462261027229,
16,AGPEXTERIOR00654,rodaje,AGP,EXTERIOR,EXTERIOR,22004.0,22009.207335163985,5.2073351639846805,4.0,46.08883285637508,neutro,133.65493587559877,
16,MADBIO00377,despegue,MAD,BIO,BIO,22003.29475723691,22009.237261971222,5.942504734313843,25.363009941539996,256.0840360303409,en_contra,432.81242814916374,
16,PMIMAD00503,crucero,PMI,MAD,MAD,21977.318754498443,22009.510579032187,32.191824533743784,422.3072608605705,787.1077833775618,en_contra,1851.0299106902492,
16,BIOBCN00371,despegue,BIO,BCN,BCN,22004.18831472026,22010.80108487203,6.6127701517689275,37.44638312723494,339.7642646074845,a_favor,355.9874598368944,
