dia,id_vuelo,fase,origen,destino_programado,destino_final,minuto_inicio,minuto_fin,duracion_min,distancia_km,velocidad_kmh,viento,combustible_consumido_l,nota
27,BCNIBZ00051,rodaje,BCN,IBZ,IBZ,37800.0,37804.00467320717,4.004673207171436,4.0,59.929983692551545,neutro,88.7702560923807,
27,ALCBIO00361,rodaje,ALC,BIO,BIO,37800.0,37804.87594627431,4.875946274310991,4.0,49.22121502126562,neutro,108.08347574722686,
27,TFNLPA00181,rodaje,TFN,LPA,LPA,37800.0,37805.12380066625,5.1238006662533735,4.0,46.84022967181704,neutro,113.5775814353223,
27,TFNLPA00181,despegue,TFN,LPA,LPA,37805.12380066625,37807.12380066625,2.0,9.005246946019318,339.1187053327856,a_favor,107.66666666666667,
27,LPAMAD00297,rodaje,LPA,MAD,MAD,37804.0,37808.56201802445,4.56201802445139,4.0,52.60829718636626,neutro,117.09179596096867,
27,BCNIBZ00051,despegue,BCN,IBZ,IBZ,37804.00467320717,37809.45986778219,5.455194575020869,22.055895664870096,242.58598326667092,en_contra,397.32000488061436,
27,FUETFN00167,rodaje,FUE,TFN,TFN,37805.0,37809.86028094675,4.860280946748389,4.0,49.37986149964968,neutro,107.73622765300269,
27,PMIVLC00684,rodaje,PMI,VLC,VLC,37804.0,37810.53886697343,6.538866973431141,4.0,36.70360644666211,neutro,144.94488457778814,
27,TFNLPA00181,crucero,TFN,LPA,LPA,37807.12380066625,37812.12380066625,5.0,86.67550185543593,1134.4569878302352,a_favor,212.5,
27,FUETFN00167,despegue,FUE,TFN,TFN,37809.86028094675,37813.40159251242,3.541311565670185,19.44344645425839,329.4278872730781,a_favor,190.64060595208448,
27,MADEXTERIOR00287,rodaje,MAD,EXTERIOR,EXTERIOR,37808.0,37813.692379698434,5.692379698433797,4.0,42.16162882916399,neutro,146.10441225977996,
27,MADEXTERIOR00525,rodaje,MAD,EXTERIOR,EXTERIOR,37809.0,37814.51746193943,5.517461939431087,4.0,43.498261090785476,neutro,141.61485644548935,
27,ALCBIO00361,despegue,ALC,BIO,BIO,37804.87594627431,37815.620384522445,10.74443824813352,47.29132409187333,264.0882082415902,neutro,680.4810890485542,
27,PMIVLC00684,despegue,PMI,VLC,VLC,37810.53886697343,37816.111197241655,5.572330268223595,22.10293862974557,237.9931292563684,en_contra,405.85138786901973,
27,TFNLPA00181,aproximacion,TFN,LPA,LPA,37812.12380066625,37816.12380066625,4.0,11.256558682524147,361.0,en_contra,161.0,
27,TFNLPA00181,aterrizaje,TFN,LPA,LPA,37816.12380066625,37818.12380066625,2.0,5.628279341262074,233.21344266164382,en_contra,80.5,
27,AGPBCN00557,rodaje,AGP,BCN,BCN,37813.0,37818.46177812958,5.461778129581944,4.0,43.941733681924696,neutro,140.18563865935718,
27,BIOBCN00367,rodaje,BIO,BCN,BCN,37815.0,37820.064285845336,5.064285845335689,4.0,47.39068988792871,neutro,112.25833623821339,
27,BCNIBZ00051,crucero,BCN,IBZ,IBZ,37809.45986778219,37821.2526842861,11.79281650390476,212.28799577437468,1080.0880130923424,a_favor,501.19470141585015,
27,OVDEXTERIOR00332,rodaje,OVD,EXTERIOR,EXTERIOR,37818.0,37822.57487424363,4.574874243633531,4.0,52.46045841239358,neutro,117.42177225322766,
27,FUEBCN00562,rodaje,FUE,BCN,BCN,37817.0,37823.157708712126,6.1577087121258955,4.0,38.97553639185447,neutro,158.0478569446291,
27,MADEXTERIOR00004,rodaje,MAD,EXTERIOR,EXTERIOR,37819.0,37824.90403817963,5.904038179629424,4.0,40.65014363017855,neutro,151.53697994382568,
27,LPABIO00262,rodaje,LPA,BIO,BIO,37821.0,37825.3933145253,4.39331452530314,4.0,54.62845844928977,neutro,112.76173948269424,
27,BCNIBZ00051,aproximacion,BCN,IBZ,IBZ,37821.2526842861,37825.605821588375,4.353137302277901,27.56986958108762,380.0,neutro,152.35980557969472,
27,BIOBCN00367,despegue,BIO,BCN,BCN,37820.064285845336,37825.948840027006,5.884554181669955,37.44638312723494,381.8102303540712,a_favor,316.7851667798538,
27,FUETFN00167,crucero,FUE,TFN,TFN,37813.40159251242,37827.28311693664,13.881524424221425,187.143172122237,808.8874092055817,en_contra,798.1876543928561,
27,PMIEXTERIOR00608,rodaje,PMI,EXTERIOR,EXTERIOR,37823.0,37827.289764615525,4.2897646155252005,4.0,55.947125660770716,neutro,110.10395846518526,
27,PMIVLC00684,crucero,PMI,VLC,VLC,37816.111197241655,37827.99880788109,11.887610639438208,212.74078431130107,1073.7605264703639,a_favor,505.22345217613156,
27,BCNIBZ00051,aterrizaje,BCN,IBZ,IBZ,37825.605821588375,37829.15630338213,3.550481793754443,13.78493479054381,232.95319775670217,en_contra,142.90689219871638,
27,FUETFN00167,aproximacion,FUE,TFN,TFN,37827.28311693664,37831.32261412243,4.039497185789514,24.304308067822987,361.0,en_contra,162.58976172795707,
27,PMIVLC00684,aproximacion,PMI,VLC,VLC,37827.99880788109,37832.59083114212,4.592023261029681,27.62867328718196,361.0,en_contra,184.82893625635577,
27,LPAEXTERIOR00311,rodaje,LPA,EXTERIOR,EXTERIOR,37827.0,37832.91677759252,5.916777592523431,4.0,40.562619812378344,neutro,151.8639582081475,
27,AGPBCN00557,despegue,AGP,BCN,BCN,37818.46177812958,37833.34751621365,14.885738084070908,61.323480343715495,247.1767808786558,en_contra,1255.3639117564667,
27,PMIMAH00664,rodaje,PMI,MAH,MAH,37829.0,37834.336427757175,5.336427757174533,4.0,44.97390593875151,neutro,118.2908152839812,
