dia,id_vuelo,fase,origen,destino_programado,destino_final,minuto_inicio,minuto_fin,duracion_min,distancia_km,velocidad_kmh,viento,combustible_consumido_l,nota
29,SDRMAD00343,rodaje,SDR,MAD,MAD,40680.0,40684.23865427821,4.23865427821147,4.0,56.621744602658225,neutro,93.9568365004112,
29,MAHBCN00566,rodaje,MAH,BCN,BCN,40680.0,40684.4650269732,4.46502697320102,4.0,53.751075064155685,neutro,98.97476457261935,
29,OVDMAD00328,rodaje,OVD,MAD,MAD,40680.0,40684.538883744615,4.538883744615305,4.0,52.876436917901266,neutro,100.6119230057069,
29,SDRMAD00344,rodaje,SDR,MAD,MAD,40680.0,40684.72637549607,4.72637549607316,4.0,50.7788685429868,neutro,104.76799016300174,
29,FUELPA00262,rodaje,FUE,LPA,LPA,40680.0,40686.0456698058,6.045669805796933,4.0,39.6978346005417,neutro,134.01234736182326,
29,PMIMAH00659,rodaje,PMI,MAH,MAH,40680.0,40686.11169892987,6.111698929867998,4.0,39.268950050407526,neutro,135.47599294534206,
29,TFNAGP00142,rodaje,TFN,AGP,AGP,40682.0,40686.633928627416,4.633928627416026,4.0,51.79190688873683,neutro,118.9375014369207,
29,ACETFN00130,rodaje,ACE,TFN,TFN,40683.0,40687.617579461104,4.617579461104469,4.0,51.97528315901386,neutro,102.35634472108448,
29,FUELPA00262,despegue,FUE,LPA,LPA,40686.0456698058,40688.120957696105,2.0752878903076635,12.803501400051557,370.1703689360104,a_favor,111.71966476148562,
29,MADLPA00277,rodaje,MAD,LPA,LPA,40682.0,40688.47912084598,6.479120845979196,4.0,37.042062604656174,neutro,166.29743504687264,
29,PMIMAH00659,despegue,PMI,MAH,MAH,40686.11169892987,40688.553604683664,2.4419057537961635,10.59432817793236,260.3129501156931,en_contra,177.8521357350379,
29,SDRMAD00343,despegue,SDR,MAD,MAD,40684.23865427821,40688.74028531223,4.501631034021557,26.12269550368507,348.17640947791637,a_favor,242.3378039983334,
29,MAHBCN00566,despegue,MAH,BCN,BCN,40684.4650269732,40688.79842092757,4.333393954366329,19.26489636847561,266.7409873833262,en_contra,315.615526342994,
29,ACETFN00130,despegue,ACE,TFN,TFN,40687.617579461104,40691.36686641577,3.7492869546622387,21.829398051214735,349.3367936119838,a_favor,201.836614392641,
29,SDRMAD00344,despegue,SDR,MAD,MAD,40687.23865427821,40691.41221500332,4.173560725110292,26.12269550368507,375.5454475095462,a_favor,224.67668570195613,
29,OVDMAD00328,despegue,OVD,MAD,MAD,40684.538883744615,40691.60762061183,7.068736867215193,31.76214107813938,269.59957634405174,neutro,447.68666825686057,
29,ALCBCN00522,rodaje,ALC,BCN,BCN,40690.0,40695.01972489462,5.019724894620595,4.0,47.811385093480204,neutro,111.27056849740714,
29,VLCPMI00674,rodaje,VLC,PMI,PMI,40690.0,40695.084911082966,5.084911082965846,4.0,47.198465437110926,neutro,112.71552900567445,
29,PMIMAH00659,crucero,PMI,MAH,MAH,40688.553604683664,40695.971853428826,7.418248745161691,101.97040871259895,824.7532177656957,en_contra,426.54930284662277,
29,FUELPA00262,crucero,FUE,LPA,LPA,40688.120957696105,40696.90122319257,8.780265496468928,123.23370097549623,842.1182778021297,neutro,439.0132748233217,
29,PMIVIT00672,rodaje,PMI,VIT,VIT,40693.0,40697.24992190334,4.249921903341601,4.0,56.471625940022335,neutro,94.20660219081157,
29,FUELPA00260,rodaje,FUE,LPA,LPA,40694.0,40698.8377855931,4.837785593103035,4.0,49.6094742896897,neutro,107.2375806470832,
29,LPAVLC00310,rodaje,LPA,VLC,VLC,40693.0,40699.001243087754,6.001243087754119,4.0,39.99171446490082,neutro,154.03190591907216,
29,MAHBCN00566,crucero,MAH,BCN,BCN,40688.79842092757,40699.02596758844,10.227546660869848,185.42462754657777,1087.7953454232274,a_favor,434.67073308703,
29,PMIMAH00659,aproximacion,PMI,MAH,MAH,40695.971853428826,40699.971853428826,4.0,13.24291022241545,361.0,en_contra,161.0,
29,VLCPMI00674,despegue,VLC,PMI,PMI,40695.084911082966,40700.547855800636,5.462944717670325,22.10293862974557,242.75850961760094,en_contra,397.8844736035774,
29,FUELPA00260,despegue,FUE,LPA,LPA,40698.8377855931,40700.90057257158,2.0627869784802897,12.803501400051557,372.4136772325382,a_favor,111.04669900816755,
29,FUELPA00262,aproximacion,FUE,LPA,LPA,40696.90122319257,40700.90122319257,4.0,16.00437675006445,361.0,en_contra,161.0,
29,BCNMAD00424,rodaje,BCN,MAD,MAD,40696.0,40700.92348058758,4.923480587582162,4.0,48.746003103024464,neutro,109.13715302475576,
29,ACETFN00124,rodaje,ACE,TFN,TFN,40695.0,40701.5590993495,6.559099349498865,4.0,36.59038950496909,neutro,145.39336891392009,
29,PMIMAH00659,aterrizaje,PMI,MAH,MAH,40699.971853428826,40701.971853428826,2.0,6.621455111207725,231.44462353498903,en_contra,80.5,
29,MAHBCN00566,aproximacion,MAH,BCN,BCN,40699.02596758844,40703.02836988106,4.002402292622719,24.081120460594516,361.0,en_contra,161.0966922779384,
29,ALCBCN00522,despegue,ALC,BCN,BCN,40695.01972489462,40703.04974228044,8.03001738581952,32.312851766058664,241.44046180866584,en_contra,584.8529329337462,
29,FUELPA00262,aterrizaje,FUE,LPA,LPA,40702.001243087754,40704.07705583726,2.07581274950644,8.002188375032224,231.29798321899523,en_contra,83.55146316777629,
29,ACETFN00124,despegue,ACE,TFN,TFN,40701.5590993495,40704.998349173286,3.4392498237866675,21.829398051214735,380.82836379440533,a_favor,185.1462821805171,
29,ACETFN00130,crucero,ACE,TFN,TFN,40691.36686641577,40705.738506303736,14.37163988796965,210.10795624294184,877.1773766146159,neutro,718.5819943983297,
29,ALCTFN00148,rodaje,ALC,TFN,TFN,40702.0,40706.09729852074,4.097298520740878,4.0,58.57518039876665,neutro,105.163995365684,
29,SDRMAD00343,crucero,SDR,MAD,MAD,40688.74028531223,40706.80353721819,18.063251905958168,251.43094422296878,835.168370120726,neutro,903.1625952978453,
29,MAHBCN00566,aterrizaje,MAH,BCN,BCN,40703.92348058758,40706.97685576034,3.053375172756205,12.040560230297258,236.60165323389433,en_contra,122.89835070350354,
29,PMIVIT00672,despegue,PMI,VIT,VIT,40697.24992190334,40707.16944204906,9.919520145718707,47.08018987009806,284.77298807900974,en_contra,722.4717172797519,
29,MADEXTERIOR00011,rodaje,MAD,EXTERIOR,EXTERIOR,40702.0,40708.22038663244,6.2203866324416595,4.0,38.58281071281285,neutro,159.656590232664,
29,MADEXTERIOR00515,rodaje,MAD,EXTERIOR,EXTERIOR,40704.0,40708.555171887216,4.5551718872156925,4.0,52.68736415276469,neutro,116.91607843845351,
29,SDRMAD00344,crucero,SDR,MAD,MAD,40691.41221500332,40709.15059236057,17.73837735725101,251.43094422296878,850.464298371209,neutro,886.918867862545,
29,FUELPA00260,crucero,FUE,LPA,LPA,40700.90057257158,40709.43951527839,8.538942706807575,123.23370097549623,865.9177502895348,neutro,426.9471353403631,
29,VLCPMI00675,rodaje,VLC,PMI,PMI,40705.0,40709.889252393965,4.889252393964853,4.0,49.087259290642145,neutro,108.37842806624546,
29,ACETFN00130,aproximacion,ACE,TFN,TFN,40705.738506303736,40710.046940129636,4.308433825899556,27.28674756401842,380.0,neutro,150.79518390641758,
29,BCNMAD00424,despegue,BCN,MAD,MAD,40700.92348058758,40710.71980000709,9.796319419510837,38.82179147390006,237.7737381444123,en_contra,713.4985977211044,
29,TFNAGP00142,despegue,TFN,AGP,AGP,40686.633928627416,40710.886628978755,24.252700351338717,114.74267155908684,283.86778353796956,neutro,1778.5313590982123,
29,TFNSCQ00205,rodaje,TFN,SCQ,SCQ,40707.0,40711.84827615994,4.848276159937086,4.0,49.502130671365016,neutro,124.43908810501587,
29,SDRMAD00343,aproximacion,SDR,MAD,MAD,40706.80353721819,40712.230690023665,5.427152805474179,32.65336937960634,361.0,en_contra,218.4429004203582,
29,ACETFN00130,aterrizaje,ACE,TFN,TFN,40710.046940129636,40712.633243860626,2.586303730990039,13.64337378200921,316.51442060401797,a_favor,76.94253599697532,
29,SVQTFN00212,rodaje,SVQ,TFN,TFN,40708.0,40712.85729966137,4.857299661372963,4.0,49.41016958630436,neutro,124.67069130860551,
29,BCNEXTERIOR00422,rodaje,BCN,EXTERIOR,EXTERIOR,40708.0,40712.87130801884,4.871308018839045,4.0,49.26808140070438,neutro,125.03023915016773,
29,FUELPA00260,aproximacion,FUE,LPA,LPA,40709.43951527839,40713.43951527839,4.0,16.00437675006445,361.0,en_contra,161.0,
29,ALCBCN00524,rodaje,ALC,BCN,BCN,40710.0,40714.25669913393,4.25669913393358,4.0,56.38171560843144,neutro,94.35683080215523,
29,SDRMAD00344,aproximacion,SDR,MAD,MAD,40709.15059236057,40714.57774516605,5.427152805474179,32.65336937960634,361.0,en_contra,218.4429004203582,
