N_simulacion,tipo,id_vuelo,origen,destino,minuto,retraso
2,salida,AC028,A,C,591,
2,llegada,AG009,A,G,620,0.0
2,llegada,AC028,A,C,631,0.0
2,llegada,GJ054,G,J,632,0.0
2,salida,GA016,G,A,641,
2,llegada,GA016,G,A,675,0.0
2,salida,BG049,B,G,680,
2,salida,IJ043,I,J,701,
2,llegada,BG049,B,G,709,0.0
2,salida,BC029,B,C,711,
2,llegada,IJ043,I,J,716,0.0
2,salida,AH036,A,H,721,
2,salida,BH025,B,H,740,
2,llegada,BC029,B,C,745,0.0
2,salida,DG015,D,G,766,
2,llegada,AH036,A,H,767,0.0
2,llegada,BH025,B,H,773,0.0
2,llegada,DG015,D,G,786,0.0
2,salida,AG058,A,G,802,
2,salida,EH040,E,H,825,
2,llegada,AG058,A,G,836,0.0
2,llegada,EH040,E,H,859,0.0
2,salida,CJ006,C,J,861,
2,salida,AJ056,A,J,876,
2,llegada,CJ006,C,J,876,0.0
2,salida,BD045,B,D,879,
2,salida,JA007,J,A,897,
2,salida,GB021,G,B,909,
2,llegada,AJ056,A,J,911,0.0
2,llegada,BD045,B,D,918,0.0
2,llegada,JA007,J,A,932,0.0
2,llegada,GB021,G,B,938,0.0
2,salida,HC030,H,C,1028,
2,salida,BC041,B,C,1038,
2,llegada,HC030,H,C,1043,0.0
2,salida,HB019,H,B,1051,
2,salida,HE001,H,E,1057,
2,cola_espera,BC041,,C,1072,
2,llegada,HB019,H,B,1084,0.0
2,llegada,HE001,H,E,1091,0.0
2,salida,JG032,J,G,1158,
2,salida,IG003,I,G,1196,
2,llegada,JG032,J,G,1221,0.0
2,salida,ED018,E,D,1224,
2,salida,CH034,C,H,1243,
2,llegada,BC041,B,C,1243,171.0
2,cola_espera,ED018,,D,1256,
2,llegada,CH034,C,H,1258,0.0
2,llegada,IG003,I,G,1268,0.0
2,salida,EA039,E,A,1271,
2,salida,CI052,C,I,1271,
2,salida,AH005,A,H,1275,
2,llegada,CI052,C,I,1299,0.0
2,llegada,EA039,E,A,1313,0.0
2,salida,AH026,A,H,1315,
2,llegada,AH005,A,H,1321,0.0
2,salida,IB014,I,B,1348,
2,salida,EB017,E,B,1352,
2,salida,FB023,F,B,1353,
2,salida,EB053,E,B,1353,
2,salida,EF012,E,F,1355,
2,salida,JC022,J,C,1358,
2,llegada,AH026,A,H,1361,0.0
2,salida,IH000,I,H,1364,
2,salida,EH027,E,H,1369,
2,llegada,JC022,J,C,1373,0.0
2,llegada,EB017,E,B,1375,0.0
2,llegada,EB053,E,B,1376,0.0
2,cola_espera,FB023,,B,1391,
2,llegada,EF012,E,F,1395,0.0
2,cola_espera,IB014,,B,1395,
2,llegada,EH027,E,H,1403,0.0
2,llegada,IH000,I,H,1407,0.0
3,salida,AG059,A,G,35,
3,llegada,AG059,A,G,69,0.0
3,salida,HF058,H,F,82,
3,llegada,HF058,H,F,90,0.0
3,salida,ID032,I,D,131,
3,salida,BH054,B,H,143,
3,salida,EH013,E,H,149,
3,salida,EF026,E,F,154,
3,llegada,BH054,B,H,176,0.0
3,llegada,EH013,E,H,183,0.0
3,llegada,EF026,E,F,194,0.0
3,salida,CI037,C,I,196,
3,salida,GH038,G,H,199,
3,llegada,ID032,I,D,216,0.0
3,llegada,CI037,C,I,224,0.0
3,salida,EF044,E,F,240,
3,llegada,GH038,G,H,259,0.0
3,llegada,EF044,E,F,280,0.0
3,salida,HG007,H,G,295,
3,salida,FG052,F,G,303,
3,salida,HI027,H,I,306,
3,salida,BG041,B,G,314,
3,salida,CJ021,C,J,329,
3,salida,AJ042,A,J,332,
3,llegada,BG041,B,G,343,0.0
3,llegada,CJ021,C,J,344,0.0
3,llegada,HI027,H,I,349,0.0
3,llegada,HG007,H,G,355,0.0
3,salida,HJ048,H,J,367,
3,llegada,AJ042,A,J,367,0.0
3,llegada,FG052,F,G,369,0.0
3,salida,DI009,D,I,378,
3,salida,JB049,J,B,386,
3,llegada,HJ048,H,J,396,0.0
3,salida,FJ020,F,J,404,
3,salida,HJ045,H,J,404,
3,llegada,JB049,J,B,422,0.0
3,llegada,FJ020,F,J,431,0.0
3,llegada,HJ045,H,J,433,0.0
3,salida,EG023,E,G,451,
3,salida,BC039,B,C,461,
3,llegada,DI009,D,I,463,0.0
3,salida,FA028,F,A,467,
3,salida,ID050,I,D,478,
3,salida,FC035,F,C,479,
3,llegada,EG023,E,G,485,0.0
3,llegada,FC035,F,C,493,0.0
3,llegada,BC039,B,C,495,0.0
3,salida,GA025,G,A,505,
3,llegada,FA028,F,A,516,0.0
3,salida,IA047,I,A,538,
3,llegada,GA025,G,A,539,0.0
3,salida,FE005,F,E,548,
3,llegada,ID050,I,D,563,0.0
3,llegada,IA047,I,A,578,0.0
3,llegada,FE005,F,E,588,0.0
3,salida,AH040,A,H,611,
3,salida,JH017,J,H,622,
3,salida,CG000,C,G,633,
3,llegada,JH017,J,H,651,0.0
3,llegada,AH040,A,H,657,0.0
3,salida,JF034,J,F,679,
3,salida,AB043,A,B,694,
3,llegada,CG000,C,G,695,0.0
3,salida,CF018,C,F,696,
3,llegada,JF034,J,F,706,0.0
3,llegada,CF018,C,F,710,0.0
3,llegada,AB043,A,B,714,0.0
3,salida,DJ001,D,J,719,
3,salida,IF002,I,F,778,
3,llegada,DJ001,D,J,793,0.0
3,salida,JA008,J,A,807,
3,salida,CG036,C,G,812,
3,llegada,IF002,I,F,819,0.0
3,salida,FH016,F,H,833,
3,llegada,FH016,F,H,841,0.0
3,llegada,JA008,J,A,842,0.0
3,salida,BF046,B,F,865,
3,llegada,CG036,C,G,874,0.0
3,salida,GI056,G,I,877,
3,salida,FA033,F,A,899,
3,llegada,BF046,B,F,903,0.0
3,llegada,FA033,F,A,948,0.0
3,llegada,GI056,G,I,949,0.0
3,salida,FC006,F,C,992,
3,salida,CG015,C,G,1004,
3,llegada,FC006,F,C,1006,0.0
3,salida,CI014,C,I,1049,
3,salida,IG055,I,G,1058,
3,llegada,CG015,C,G,1066,0.0
3,salida,BH030,B,H,1069,
3,llegada,CI014,C,I,1077,0.0
3,salida,CI004,C,I,1079,
3,salida,GC003,G,C,1086,
3,salida,CD010,C,D,1087,
3,salida,IG053,I,G,1092,
3,salida,EA022,E,A,1097,
3,llegada,BH030,B,H,1102,0.0
3,llegada,CI004,C,I,1107,0.0
3,salida,AC051,A,C,1112,
3,salida,HB057,H,B,1115,
3,llegada,IG055,I,G,1130,0.0
3,llegada,EA022,E,A,1139,0.0
3,salida,ED029,E,D,1145,
3,llegada,HB057,H,B,1148,0.0
3,llegada,GC003,G,C,1148,0.0
3,llegada,AC051,A,C,1152,0.0
3,llegada,CD010,C,D,1157,0.0
3,salida,IF031,I,F,1163,
3,llegada,IG053,I,G,1164,0.0
3,llegada,ED029,E,D,1177,0.0
3,salida,HD019,H,D,1180,
3,llegada,IF031,I,F,1204,0.0
3,cola_espera,HD019,,D,1244,
3,salida,DC011,D,C,1258,
3,llegada,HD019,H,D,1258,14.0
3,salida,EB024,E,B,1260,
3,llegada,EB024,E,B,1283,0.0
3,salida,IE012,I,E,1299,
3,llegada,DC011,D,C,1328,0.0
3,llegada,IE012,I,E,1363,0.0
4,salida,HD010,H,D,2,
4,salida,BC052,B,C,61,
4,salida,GE024,G,E,65,
4,llegada,HD010,H,D,66,0.0
4,llegada,BC052,B,C,95,0.0
4,llegada,GE024,G,E,99,0.0
4,salida,AH020,A,H,154,
4,salida,AG044,A,G,177,
4,llegada,AH020,A,H,200,0.0
4,salida,FJ001,F,J,203,
4,salida,DA011,D,A,207,
4,llegada,AG044,A,G,211,0.0
4,llegada,FJ001,F,J,230,0.0
4,salida,JG016,J,G,255,
4,llegada,DA011,D,A,257,0.0
4,salida,IA022,I,A,258,
4,llegada,IA022,I,A,298,0.0
4,llegada,JG016,J,G,318,0.0
4,salida,FG051,F,G,324,
4,salida,EI038,E,I,351,
4,salida,HF047,H,F,367,
4,llegada,HF047,H,F,375,0.0
4,llegada,FG051,F,G,390,0.0
4,salida,BJ053,B,J,403,
4,salida,IE015,I,E,415,
4,llegada,EI038,E,I,415,0.0
4,salida,IH026,I,H,431,
4,salida,AH000,A,H,434,
4,llegada,BJ053,B,J,439,0.0
4,salida,BI036,B,I,454,
4,salida,JE003,J,E,463,
4,salida,AC030,A,C,473,
4,llegada,IH026,I,H,474,0.0
4,salida,HD004,H,D,477,
4,llegada,IE015,I,E,479,0.0
4,llegada,AH000,A,H,480,0.0
4,salida,GJ041,G,J,487,
4,llegada,BI036,B,I,501,0.0
4,salida,JG049,J,G,506,
4,llegada,AC030,A,C,513,0.0
4,llegada,JE003,J,E,514,0.0
4,salida,HI059,H,I,534,
4,salida,EC034,E,C,535,
4,llegada,HD004,H,D,541,0.0
4,llegada,GJ041,G,J,550,0.0
4,salida,DE008,D,E,552,
4,llegada,JG049,J,G,569,0.0
4,llegada,HI059,H,I,577,0.0
4,llegada,EC034,E,C,578,0.0
4,llegada,DE008,D,E,584,0.0
4,salida,JF002,J,F,619,
4,salida,BD056,B,D,628,
4,salida,FA035,F,A,642,
4,llegada,JF002,J,F,646,0.0
4,salida,DA005,D,A,664,
4,llegada,BD056,B,D,667,0.0
4,llegada,FA035,F,A,691,0.0
4,llegada,DA005,D,A,714,0.0
4,salida,FH054,F,H,718,
4,salida,HA057,H,A,725,
4,salida,HB032,H,B,726,
4,llegada,FH054,F,H,726,0.0
4,llegada,HB032,H,B,759,0.0
4,salida,DF046,D,F,765,
4,llegada,HA057,H,A,771,0.0
4,salida,FD009,F,D,778,
4,salida,GA040,G,A,790,
4,salida,EF019,E,F,816,
4,salida,EF014,E,F,822,
