year,Aeropuerto_Origen,Aeropuerto_Destino,Pasajeros,Pasajeros_Km,Pasajeros2,Pasajeros_Km2,Textbox108,Textbox109,Textbox110,Textbox111
2024,ABC : Albacete,TFN : Tenerife-Norte,,,156,"60.336,11",3.369.608,"4.129.033.815,56",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,TFS : Tenerife-Sur,,,156,"60.336,11",592.012,"872.619.324,03",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,TOJ : Madrid-Torrejón,,,156,"60.336,11",0,"0,00",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VDE : Hierro (El),,,156,"60.336,11",159.509,"44.923.018,31",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VGO : Vigo,,,156,"60.336,11",504.867,"388.028.582,27",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VIT : Vitoria,,,156,"60.336,11",86.403,"62.189.933,34",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VLC : Valencia,,,156,"60.336,11",1.475.979,"979.622.964,43",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,VLL : Valladolid,,,156,"60.336,11",82.771,"76.097.042,26",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,XRY : Jerez de la Frontera,3,"1.612,00",156,"60.336,11",285.115,"239.080.105,95",48.838.129,"41.757.331.077,90"
2024,ABC : Albacete,ZAZ : Zaragoza,3,"1.216,22",156,"60.336,11",129.948,"115.898.364,14",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ABC : Albacete,,,1.422.859,"1.506.179.236,52",48,"23.456,30",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ACE : Lanzarote,,,1.422.859,"1.506.179.236,52",1.413.941,"1.494.048.627,62",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,AEI : Algeciras,,,1.422.859,"1.506.179.236,52",16.654,"480.845,61",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,AGP : Málaga,42.610,"55.443.408,93",1.422.859,"1.506.179.236,52",2.098.974,"1.754.561.223,82",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ALC : Alicante,11.993,"21.163.638,16",1.422.859,"1.506.179.236,52",1.291.972,"848.442.720,66",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,BCN : Barcelona-El Prat,137.855,"285.039.242,38",1.422.859,"1.506.179.236,52",7.142.092,"5.569.423.643,22",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,BIO : Bilbao,62.979,"122.942.954,36",1.422.859,"1.506.179.236,52",1.954.995,"1.669.502.181,28",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,BJZ : Badajoz,,,1.422.859,"1.506.179.236,52",43.076,"29.414.941,92",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,EAS : San Sebastián,,,1.422.859,"1.506.179.236,52",238.891,"142.487.823,81",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,FUE : Fuerteventura,429,"64.908,10",1.422.859,"1.506.179.236,52",932.093,"885.942.917,86",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,GMZ : Gomera (La),,,1.422.859,"1.506.179.236,52",60.095,"14.115.551,63",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,GRO : Girona,,,1.422.859,"1.506.179.236,52",2.270,"1.712.199,21",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,GRX : Granada,,,1.422.859,"1.506.179.236,52",537.169,"420.025.112,26",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,HSK : Huesca,,,1.422.859,"1.506.179.236,52",118,"70.367,01",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,IBZ : Ibiza,,,1.422.859,"1.506.179.236,52",1.903.001,"807.181.009,90",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,JCU : Ceuta,,,1.422.859,"1.506.179.236,52",39.118,"2.985.610,92",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,LCG : Coruña (A),3,"5.289,40",1.422.859,"1.506.179.236,52",556.216,"410.174.935,53",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,LEI : Almería,,,1.422.859,"1.506.179.236,52",221.418,"123.066.504,15",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,LEN : León,349,"617.401,94",1.422.859,"1.506.179.236,52",28.447,"26.092.762,94",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,LPA : Gran Canaria,426.927,"129.214.475,61",1.422.859,"1.506.179.236,52",3.593.494,"4.263.271.504,96",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,MAD : Madrid-Barajas,325.852,"543.111.008,79",1.422.859,"1.506.179.236,52",8.752.037,"8.386.923.719,85",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,MAH : Menorca,,,1.422.859,"1.506.179.236,52",1.064.255,"513.159.808,34",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,MCV : Madrid-Cuatro Vientos,,,1.422.859,"1.506.179.236,52",299,"159.606,92",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,MJV : Murcia,,,1.422.859,"1.506.179.236,52",4,"1.769,41",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,MLN : Melilla,,,1.422.859,"1.506.179.236,52",251.013,"108.059.236,43",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,ODB : Córdoba,,,1.422.859,"1.506.179.236,52",1.530,"1.336.851,23",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,OVD : Asturias,20.159,"37.227.555,42",1.422.859,"1.506.179.236,52",771.801,"723.097.051,36",48.838.129,"41.757.331.077,90"
2024,ACE : Lanzarote,PMI : Palma de Mallorca,,,1.422.859,"1.506.179.236,52",4.501.747,"2.407.324.685,98",48.838.129,"41.757.331.077,90"
