dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave
1,A26A3200473,A26,A32,A32,False,False,1008.0,1078.893675843228,20.89367584322804,0.0,3121.7721675846083,corto_radio
1,A24A500108,A24,A5,A5,False,False,1044.0,1079.5953554850134,13.595355485013442,0.0,1217.0535599446334,corto_radio
1,A32A700161,A32,A7,A7,False,False,1007.0,1079.719429075277,17.71942907527705,0.0,3698.174102809665,medio_radio
1,A25A100010,A25,A1,A1,False,False,1023.0,1080.76950418964,18.769504189639974,0.0,2495.0819941876234,corto_radio
1,A31A1400304,A31,A14,A14,False,False,894.0,1082.8221512056255,19.82215120562546,0.0,10064.957716498853,medio_radio
1,A33A2300434,A33,A23,A23,False,False,1039.0,1083.3453782483778,14.345378248377756,0.0,1736.9020160667255,corto_radio
1,A6A100002,A6,A1,A1,False,False,1036.0,1084.0447787463518,12.044778746351767,0.0,1801.5716271899234,corto_radio
1,A20A700156,A20,A7,A7,False,False,1027.0,1084.6864541251698,15.686454125169803,0.0,2404.280219695691,corto_radio
1,A45A3400547,A45,A34,A34,False,False,1024.0,1084.9131841050685,17.913184105068467,0.0,2603.4534746228205,corto_radio
1,A48A2400462,A48,A24,A24,False,False,1011.0,1084.9780367462984,18.978036746298358,0.0,3781.036307914846,medio_radio
1,A26A3500477,A26,A35,A35,False,False,1009.0,1086.5803450964906,19.580345096490646,0.0,3798.6586942689446,medio_radio
1,A45A3900577,A45,A39,A39,False,False,1067.0,1087.1142857142856,19.114285714285643,0.0,435.62619047619046,corto_radio
1,A7A3400162,A7,A34,A34,False,False,1037.0,1087.9131841050685,14.913184105068467,0.0,1814.4599535071004,corto_radio
1,A45A2300446,A45,A23,A23,False,False,1040.0,1088.5248693218434,17.524869321843425,0.0,1902.957734718859,corto_radio
1,A37A400093,A37,A4,A4,False,False,1021.0,1090.188944773259,12.188944773258982,0.0,3215.7128303345935,medio_radio
1,A26A2100405,A26,A21,A21,False,False,1003.0,1090.2364886552916,20.236488655291623,0.0,4476.026926785459,medio_radio
1,A31A1800373,A31,A18,A18,False,False,1062.0,1090.7159452425026,14.715945242502585,0.0,881.8894860837188,corto_radio
