dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave
3,A22A3400416,A22,A34,A34,False,False,3242.0,3263.296871616515,19.29687161651509,0.0,448.49196249825775,corto_radio
3,A47A1900374,A47,A19,A19,False,False,3251.0,3271.5622266749665,16.562226674966496,0.0,455.0773049438112,corto_radio
3,A31A3000508,A31,A30,A30,False,False,3240.0,3277.0,17.0,0.0,1181.2162054137675,corto_radio
3,A22A4600421,A22,A46,A46,False,False,3240.0,3278.433381930865,16.433381930864925,0.0,1467.5365536057843,corto_radio
3,A5A3800095,A5,A38,A38,False,False,3255.0,3283.7294608251177,15.729460825117712,0.0,902.1205321927588,corto_radio
3,A43A1900370,A43,A19,A19,False,False,3240.0,3287.3435225419275,13.343522541927541,0.0,1776.9457900261186,corto_radio
3,A3A600037,A3,A6,A6,False,False,3254.0,3287.6113734050164,13.611373405016366,0.0,1126.4548532029778,corto_radio
3,A26A4000466,A26,A40,A40,False,False,3248.0,3290.860938725695,15.860938725695178,0.0,1659.5383431197274,corto_radio
3,A48A4700600,A48,A47,A47,False,False,3262.0,3292.720815442497,15.720815442497042,0.0,1045.0073096080923,corto_radio
3,A39A4700580,A39,A47,A47,False,False,3240.0,3299.0,14.0,0.0,2320.262223705618,corto_radio
3,A1A2400007,A1,A24,A24,False,False,3283.0,3304.4809053988715,14.480905398871528,0.0,521.8959846189573,corto_radio
3,A5A4000096,A5,A40,A40,False,False,3240.0,3309.9497354895693,19.94973548956932,0.0,3065.5389150469578,corto_radio
3,A27A3900474,A27,A39,A39,False,False,3251.0,3311.1342638080446,13.13426380804458,0.0,2374.056840461679,corto_radio
3,A39A2500452,A39,A25,A25,False,False,3274.0,3311.295676921937,13.295676921936774,0.0,1288.8786052540797,corto_radio
3,A34A300051,A34,A3,A3,False,False,3277.0,3313.5810988476205,12.581098847620524,0.0,1235.959152712707,corto_radio
3,A11A900179,A11,A9,A9,False,False,3292.0,3316.0,17.0,0.0,489.7913257156373,corto_radio
3,A15A2200297,A15,A22,A22,False,False,3276.0,3318.806416548261,12.80641654826104,0.0,1553.2791365647552,corto_radio
3,A48A3400548,A48,A34,A34,False,False,3282.0,3319.129606311088,16.129606311088082,0.0,1378.6098336160471,corto_radio
3,A14A800159,A14,A8,A8,False,False,3277.0,3323.5526176795975,13.55261767959746,0.0,1759.110774573896,corto_radio
3,A31A700138,A31,A7,A7,False,False,3284.0,3330.0,17.0,0.0,1685.7746501317888,corto_radio
3,A19A1700331,A19,A17,A17,False,False,3311.0,3332.0591758596347,15.059175859634706,0.0,511.6568245943341,corto_radio
3,A16A4800329,A16,A48,A48,False,False,3298.0,3336.0104451995467,14.010445199546666,0.0,1370.9133905862402,corto_radio
3,A4A2400068,A4,A24,A24,False,False,3308.0,3337.179933132928,14.179933132928,0.0,934.4123505780866,corto_radio
3,A1A4400016,A1,A44,A44,False,False,3317.0,3337.9170154941926,14.917015494192583,0.0,474.32764796553226,corto_radio
3,A16A2700323,A16,A27,A27,False,False,3315.0,3339.0707965514275,14.07079655142752,0.0,634.2338871402028,corto_radio
3,A30A3500510,A30,A35,A35,False,False,3264.0,3339.154451889261,11.154451889261054,0.0,3495.3882192102787,medio_radio
3,A31A4400522,A31,A44,A44,False,False,3275.0,3341.5918780255925,13.59187802559245,0.0,3219.0831520957245,medio_radio
3,A48A4100588,A48,A41,A41,False,False,3313.0,3343.8871505443667,15.887150544366705,0.0,1054.1198981283092,corto_radio
3,A2A2700022,A2,A27,A27,False,False,3297.0,3344.981712112451,16.981712112451078,0.0,1934.001141429851,corto_radio
3,A28A4000489,A28,A40,A40,False,False,3265.0,3345.2111309537786,18.211130953778593,0.0,4057.5921183979276,medio_radio
3,A18A1600316,A18,A16,A16,False,False,3307.0,3346.9720808638544,15.972080863854444,0.0,1517.6740103395236,corto_radio
3,A34A4600547,A34,A46,A46,False,False,3311.0,3348.0608630550996,14.060863055099617,0.0,1221.2484645101783,corto_radio
3,A46A2700480,A46,A27,A27,False,False,3309.0,3353.7551223220144,12.755122322014358,0.0,1684.3975495925329,corto_radio
3,A23A1600321,A23,A16,A16,False,False,3311.0,3354.613492593924,13.613492593924093,0.0,1626.150019789589,corto_radio
3,A40A1700337,A40,A17,A17,False,False,3326.0,3356.32823075841,15.328230758409973,0.0,1005.3112739233676,corto_radio
3,A12A2900246,A12,A29,A29,False,False,3323.0,3357.396645933275,13.396645933275067,0.0,1173.3937384876542,corto_radio
3,A7A4800152,A7,A48,A48,False,False,3317.0,3361.7744062535285,16.77440625352847,0.0,1779.596221100231,corto_radio
3,A2A3500026,A2,A35,A35,False,False,3291.0,3361.8502673930125,16.850267393012473,0.0,3524.6749150367987,medio_radio
3,A18A4300356,A18,A43,A43,False,False,3303.0,3362.4711355540917,18.47113555409169,0.0,2553.0842660218277,corto_radio
3,A24A100009,A24,A1,A1,False,False,3344.0,3365.3401565069657,14.34015650696574,0.0,489.7335656502008,corto_radio
3,A46A4200591,A46,A42,A42,False,False,3328.0,3365.6146573697774,13.614657369777433,0.0,1320.0811386944501,corto_radio
3,A27A500087,A27,A5,A5,False,False,3307.0,3367.3205191514094,13.320519151409371,0.0,2382.876771949682,corto_radio
3,A18A4000352,A18,A40,A40,False,False,3347.0,3367.8015934729874,14.801593472987406,0.0,479.5175866225339,corto_radio
3,A29A1200245,A29,A12,A12,False,False,3333.0,3368.186733343999,14.186733343999094,0.0,1252.4024795600574,corto_radio
