dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave,capacidad_combustible_l,combustible_restante_est_l,tiempo_total_min,tiempo_rodaje_min,tiempo_despegue_min,tiempo_crucero_min,tiempo_aproximacion_min,tiempo_aterrizaje_min,tiempo_espera_cola_min,dist_rodaje_km,dist_despegue_km,dist_crucero_km,dist_aproximacion_km,dist_aterrizaje_km,velocidad_crucero_kmh,velocidad_despegue_kmh,velocidad_aproximacion_kmh,velocidad_aterrizaje_kmh,viento_despegue,viento_crucero,viento_aproximacion,viento_aterrizaje,distancia_plan_km,distancia_ruta_km
29,PMIMAH00659,PMI,MAH,MAH,False,False,40680.0,40711.971853428826,21.971853428825852,0.0,981.3774315270027,corto_radio,20000.0,19018.622568472998,31.971853428825852,6.111698929865056,2.4419057537991478,7.418248745158658,4.0,2.0,0.0,4.0,10.59432817793236,101.97040871259895,13.24291022241545,6.621455111207725,824.7532177656957,260.3129501156931,361.0,231.44462353498903,en_contra,en_contra,en_contra,en_contra,132.4291022241545,132.4291022241545
29,FUELPA00262,FUE,LPA,LPA,False,False,40680.0,40714.07705583726,21.07705583726056,0.0,929.2967501144069,corto_radio,20000.0,19070.70324988559,34.07705583726056,6.045669805796537,2.0752878903062344,8.780265496466434,4.0,2.07581274950997,0.0,4.0,12.803501400051557,123.23370097549623,16.00437675006445,8.002188375032224,842.1182778021297,370.1703689360104,361.0,231.29798321899523,a_favor,neutro,en_contra,en_contra,160.04376750064446,160.04376750064446
29,MAHBCN00566,MAH,BCN,BCN,False,False,40680.0,40716.97685576034,17.976855760338367,0.0,1133.2560669840852,corto_radio,20000.0,18866.743933015914,36.97685576033837,4.465026973200874,4.33339395436605,10.227546660871294,4.002402292619587,3.053375172757852,0.0,4.0,19.26489636847561,185.42462754657777,24.081120460594516,12.040560230297258,1087.7953454232274,266.7409873833262,361.0,236.60165323389433,en_contra,a_favor,en_contra,en_contra,240.81120460594514,240.81120460594514
29,ACETFN00130,ACE,TFN,TFN,False,False,40683.0,40722.633243860626,18.633243860625953,0.0,1250.512673415448,corto_radio,20000.0,18749.487326584553,39.63324386062595,4.617579461101555,3.749286954662062,14.371639887966595,4.3084338258976445,2.586303730990767,0.0,4.0,21.829398051214735,210.10795624294184,27.28674756401842,13.64337378200921,877.1773766146159,349.3367936119838,380.0,316.51442060401797,a_favor,neutro,neutro,a_favor,272.8674756401842,272.8674756401842
29,FUELPA00260,FUE,LPA,LPA,False,False,40694.0,40725.53201137187,18.532011371869885,0.0,890.454382758201,corto_radio,20000.0,19109.545617241798,31.532011371869885,4.837785593101498,2.0627869784798927,8.538942706807262,4.0,2.092496093480422,0.0,4.0,12.803501400051557,123.23370097549623,16.00437675006445,8.002188375032224,865.9177502895348,372.4136772325382,361.0,229.4538584792945,a_favor,neutro,en_contra,en_contra,160.04376750064446,160.04376750064446
29,SDRMAD00343,SDR,MAD,MAD,False,False,40680.0,40728.35999007233,23.35999007232749,0.0,1624.5191746722214,corto_radio,20000.0,18375.480825327777,48.35999007232749,4.23865427821404,4.501631034024769,18.063251905956907,5.427152805474738,4.139603439882569,0.0,4.0,26.12269550368507,251.43094422296878,32.65336937960634,16.32668468980317,835.168370120726,348.17640947791637,361.0,236.64128596240107,a_favor,neutro,en_contra,en_contra,326.53369379606335,326.53369379606335
29,SDRMAD00344,SDR,MAD,MAD,False,False,40680.0,40731.34920085409,26.349200854092487,0.0,1600.9912165691849,corto_radio,20000.0,18399.008783430814,51.34920085409249,4.726375496075266,4.173560725113735,17.738377357250897,5.427152805474738,4.128814221647792,0.0,4.0,26.12269550368507,251.43094422296878,32.65336937960634,16.32668468980317,850.464298371209,375.5454475095462,361.0,237.25966556016064,a_favor,neutro,en_contra,en_contra,326.53369379606335,326.53369379606335
29,VLCPMI00674,VLC,PMI,PMI,False,False,40690.0,40735.631320483786,24.631320483786112,0.0,1770.1684722792713,corto_radio,20000.0,18229.83152772073,45.63132048378611,5.0849110829627575,5.462944717669256,16.234882958380435,4.592023261027473,3.508913374081707,0.0,4.0,22.10293862974557,212.74078431130107,27.62867328718196,13.81433664359098,786.2358534644727,242.75850961760094,361.0,236.2156343721007,en_contra,en_contra,en_contra,en_contra,276.2867328718196,276.2867328718196
29,OVDMAD00328,OVD,MAD,MAD,False,False,40680.0,40736.37509931264,26.375099312637758,0.0,2344.9855803349797,corto_radio,20000.0,17655.01441966502,56.37509931263776,4.5388837446183565,7.0687368672135875,23.031650513923907,6.598782772466631,5.137045414410086,0.0,4.0,31.76214107813938,305.71060787709155,39.70267634767423,19.851338173837114,796.4099864026833,269.59957634405174,361.0,231.86096176784622,neutro,en_contra,en_contra,en_contra,397.02676347674225,397.02676347674225
29,ACETFN00124,ACE,TFN,TFN,False,False,40695.0,40737.079762981324,21.079762981324166,0.0,1316.8675996280938,corto_radio,20000.0,18683.132400371906,42.079762981324166,6.559099349500154,3.439249823786695,15.149956057222916,4.3084338258976445,2.6230239249106977,0.0,4.0,21.829398051214735,210.10795624294184,27.28674756401842,13.64337378200921,832.1131313490661,380.82836379440533,380.0,312.08347706871274,a_favor,neutro,neutro,a_favor,272.8674756401842,272.8674756401842
29,ALCBCN00522,ALC,BCN,BCN,False,False,40690.0,40742.39692463384,21.396924633838353,0.0,1916.5239582111712,corto_radio,20000.0,18083.47604178883,52.39692463383835,5.019724894619871,8.030017385818025,17.411718691493828,6.713196350289196,5.222267311612175,0.0,4.0,32.312851766058664,311.0111982483146,40.39106470757333,20.195532353786664,1071.7306100296234,241.44046180866584,361.0,232.0317725852153,en_contra,a_favor,en_contra,en_contra,403.91064707573327,403.91064707573327
29,VLCPMI00675,VLC,PMI,PMI,False,False,40705.0,40749.01145415071,23.011454150706413,0.0,1688.9933201837962,corto_radio,20000.0,18311.006679816204,44.01145415070641,4.889252393965961,5.059137026173044,15.323444904748907,4.592023261027473,3.632647464145664,0.0,4.0,22.10293862974557,212.74078431130107,27.62867328718196,13.81433664359098,833.0011389751021,262.13488801031997,361.0,228.16973207456354,en_contra,en_contra,en_contra,en_contra,276.2867328718196,276.2867328718196
29,FUETFN00161,FUE,TFN,TFN,False,False,40712.0,40750.288813026586,19.288813026585558,0.0,1179.8941986214877,corto_radio,20000.0,18820.10580137851,38.28881302658556,5.112459543919203,3.4563419956362793,13.473148620267565,4.0,2.2468628667612576,0.0,4.0,19.44344645425839,187.143172122237,24.304308067822987,12.152154033911494,833.4050669079036,337.5264336481675,380.0,324.5098990334437,a_favor,neutro,neutro,a_favor,243.04308067822987,243.04308067822987
29,BCNMAD00424,BCN,MAD,MAD,False,False,40696.0,40757.75895564354,24.758955643541412,0.0,2281.0558968577993,corto_radio,20000.0,17718.9441031422,61.75895564354141,4.923480587582967,9.796319419511732,20.66937256269193,8.065469142777022,6.3437684273479995,0.0,4.0,38.82179147390006,373.65974293628807,48.52723934237508,24.26361967118754,1084.676591327425,237.7737381444123,361.0,229.4877558889479,en_contra,a_favor,en_contra,en_contra,485.27239342375077,485.27239342375077
29,IBZPMI00083,IBZ,PMI,PMI,False,False,40726.0,40758.54195578829,21.541955788292398,0.0,922.6244084153976,corto_radio,20000.0,19077.3755915846,32.5419557882924,5.581767194034863,2.0,7.821366416480432,4.0,2.0,0.0,4.0,11.143621383470402,107.25735581590261,13.929526729338003,6.964763364669001,822.8026928126028,337.6782100921711,361.0,234.00892622592903,a_favor,en_contra,en_contra,en_contra,139.29526729338002,139.29526729338002
29,TFNACE00128,TFN,ACE,ACE,False,False,40724.0,40761.88418350581,16.88418350581196,0.0,1111.8099917286313,corto_radio,20000.0,18888.19000827137,37.88418350581196,4.568956290203571,4.9704658080481945,11.763030659706565,4.0,2.581730747849995,0.0,4.0,21.829398051214735,210.10795624294184,27.28674756401842,13.64337378200921,1071.703180861299,263.50928336577834,494.0,317.07505811838263,neutro,a_favor,a_favor,a_favor,272.8674756401842,272.8674756401842
29,ALCBCN00524,ALC,BCN,BCN,False,False,40710.0,40762.984996633444,21.984996633444098,0.0,1864.7206220227017,corto_radio,20000.0,18135.2793779773,52.9849966334441,4.256699133931815,8.023775761386755,16.678869408337132,6.713196350289196,5.140555370088859,0.0,4.0,32.312851766058664,311.0111982483146,40.39106470757333,20.195532353786664,1118.8211525639213,241.62827621549096,361.0,235.72004462355474,en_contra,a_favor,en_contra,en_contra,403.91064707573327,403.91064707573327
29,MLNAGP00644,MLN,AGP,AGP,False,False,40732.0,40765.77037892509,17.770378925088153,0.0,914.1954804595895,corto_radio,20000.0,19085.804519540412,33.77037892508815,5.554945935992677,2.819349481389198,8.708223975639665,4.0,2.6878595320649485,0.0,4.0,16.65413513731764,160.29605069668227,20.81766892164705,10.408834460823526,1104.4459890679902,354.4250596938027,361.0,232.35219705458948,a_favor,a_favor,en_contra,en_contra,208.1766892164705,208.1766892164705
29,PMIBCN00582,PMI,BCN,BCN,False,False,40727.0,40766.435764983544,23.435764983543777,0.0,1347.6001886101353,corto_radio,20000.0,18652.399811389863,39.43576498354378,5.378806686557117,3.9523360945416117,11.742737074228206,4.0,2.5913237201875816,0.0,4.0,16.123643274483953,155.19006651690805,20.154554093104945,10.077277046552473,792.9500534803107,244.77133860278082,361.0,233.33118054018342,en_contra,en_contra,en_contra,en_contra,201.54554093104943,201.54554093104943
