dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave,capacidad_combustible_l,combustible_restante_est_l,tiempo_total_min,tiempo_rodaje_min,tiempo_despegue_min,tiempo_crucero_min,tiempo_aproximacion_min,tiempo_aterrizaje_min,tiempo_espera_cola_min,dist_rodaje_km,dist_despegue_km,dist_crucero_km,dist_aproximacion_km,dist_aterrizaje_km,velocidad_crucero_kmh,velocidad_despegue_kmh,velocidad_aproximacion_kmh,velocidad_aterrizaje_kmh,viento_despegue,viento_crucero,viento_aproximacion,viento_aterrizaje,distancia_plan_km,distancia_ruta_km
24,LPAACE00108,LPA,ACE,ACE,False,False,33480.0,33514.74797550209,18.747975502090412,0.0,1087.7624659950332,corto_radio,20000.0,18912.237534004966,34.74797550209041,4.003278454974284,3.647661659303693,11.097035387809687,4.0,2.0,0.0,4.0,16.637196228879173,160.13301370296205,20.796495286098967,10.398247643049483,865.8151016380718,273.66347730927004,494.0,313.4804654874522,en_contra,neutro,a_favor,a_favor,207.96495286098965,207.96495286098965
24,TFNLPA00184,TFN,LPA,LPA,False,False,33487.0,33515.4998758453,19.499875845300267,0.0,683.5805812374688,corto_radio,20000.0,19316.419418762533,28.499875845300267,5.499875845299343,2.0,5.0,4.0,2.0,0.0,4.0,9.005246946019318,86.67550185543593,11.256558682524147,5.628279341262074,1111.7033943922902,385.3232920319801,361.0,234.80826468857424,a_favor,a_favor,en_contra,en_contra,112.56558682524147,112.56558682524147
24,PMIIBZ00091,PMI,IBZ,IBZ,False,False,33489.0,33517.528661659184,17.528661659183854,0.0,776.1654972178744,corto_radio,20000.0,19223.834502782127,28.528661659183854,4.089089491440349,2.8134790009371744,5.6260931668083725,4.0,2.0,0.0,4.0,11.143621383470402,107.25735581590261,13.929526729338003,6.964763364669001,1143.856164153236,237.64786685292717,361.0,228.95482517766965,en_contra,a_favor,en_contra,en_contra,139.29526729338002,139.29526729338002
24,FUETFN00171,FUE,TFN,TFN,False,False,33480.0,33518.49768053022,19.49768053022126,0.0,1185.9912598957185,corto_radio,20000.0,18814.00874010428,38.49768053022126,5.923008433643299,3.232559073387012,12.979550285202837,4.039497185787754,2.3230655521969434,0.0,4.0,19.44344645425839,187.143172122237,24.304308067822987,12.152154033911494,865.0985650970683,360.89264287849676,361.0,313.8651172994863,a_favor,neutro,en_contra,a_favor,243.04308067822987,243.04308067822987
24,ZAZPMI00686,ZAZ,PMI,PMI,False,False,33480.0,33529.647629210594,19.64762921059446,0.0,1591.6823559711893,corto_radio,20000.0,18408.31764402881,49.64762921059446,6.152731639895083,5.114526105890227,16.735495316160723,6.61483711371664,5.030039034927503,0.0,4.0,31.83941597402276,306.454378749969,39.79926996752845,19.899634983764226,1098.6984476785924,373.51749094432483,361.0,237.36954936833052,a_favor,a_favor,en_contra,en_contra,397.9926996752845,397.9926996752845
24,MAHPMI00662,MAH,PMI,PMI,False,False,33505.0,33535.21888501465,20.21888501464855,0.0,798.0689475819261,corto_radio,20000.0,19201.931052418073,30.21888501464855,6.0833919501746925,2.504240794935938,5.631252269534579,4.0,2.0,0.0,4.0,10.59432817793236,101.97040871259895,13.24291022241545,6.621455111207725,1086.4767248762603,253.83329429077628,361.0,237.36370938254868,en_contra,a_favor,en_contra,en_contra,132.4291022241545,132.4291022241545
24,MADBCN00439,MAD,BCN,BCN,False,False,33486.0,33544.948714384016,21.948714384016057,0.0,2187.1421517448825,corto_radio,20000.0,17812.857848255117,58.94871438401606,5.305654455949291,8.328680019568806,20.929000156874828,8.065469142777022,6.181622614048614,0.0,4.0,38.82179147390006,373.65974293628807,48.52723934237508,24.26361967118754,1071.2210047364745,279.6730673961703,361.0,235.50728848485534,en_contra,a_favor,en_contra,en_contra,485.27239342375077,485.27239342375077
24,IBZMAD00075,IBZ,MAD,MAD,False,False,33480.0,33545.6319650514,30.631965051397856,0.0,2822.6751283789595,corto_radio,20000.0,17177.32487162104,65.63196505139786,6.499494986440146,8.481844057286226,26.338988354655534,7.660401155926996,5.9135164494021035,0.0,4.0,36.87206423052861,354.8936182188378,46.090080288160756,23.045040144080378,808.4447590169698,260.8305268158339,361.0,233.82067513900688,en_contra,en_contra,en_contra,en_contra,460.90080288160755,460.90080288160755
24,IBZMAD00076,IBZ,MAD,MAD,False,False,33482.0,33548.7704406332,31.770440633197722,0.0,2727.8349314408365,corto_radio,20000.0,17272.165068559163,66.77044063319772,5.824593211627281,7.982090761809958,25.48586108375983,7.660401155926996,6.051992031197227,0.0,4.0,36.87206423052861,354.8936182188378,46.090080288160756,23.045040144080378,835.5070689253283,277.1609494114631,361.0,228.4706261206513,en_contra,en_contra,en_contra,en_contra,460.90080288160755,460.90080288160755
24,SPCLPA00133,SPC,LPA,LPA,False,False,33513.0,33549.294085840265,17.294085840265325,0.0,1087.8067495087475,corto_radio,20000.0,18912.19325049125,36.294085840265325,4.721917860927416,3.968314973333333,10.335943017283341,4.063346419964001,3.204563568753271,0.0,4.0,19.558240768093388,188.24806739289886,24.447800960116737,12.223900480058369,1092.7773135636571,295.716054287869,361.0,228.8717365306762,neutro,a_favor,en_contra,en_contra,244.47800960116734,244.47800960116734
