dia,minuto,aeropuerto,evento,ocupacion,capacidad
5,0.0,XRY,ocupacion_inicial,2,4
5,0.0,VGO,ocupacion_inicial,2,5
5,0.0,BJZ,ocupacion_inicial,3,4
5,0.0,GRX,ocupacion_inicial,2,5
5,0.0,LEI,ocupacion_inicial,2,4
5,0.0,SLM,ocupacion_inicial,3,4
5,0.0,SPC,ocupacion_inicial,1,5
5,0.0,GMZ,ocupacion_inicial,3,4
5,0.0,TFS,ocupacion_inicial,2,5
5,0.0,VDE,ocupacion_inicial,3,4
5,0.0,OVD,ocupacion_inicial,2,5
5,0.0,VLL,ocupacion_inicial,3,4
5,0.0,SDR,ocupacion_inicial,3,4
5,0.0,EAS,ocupacion_inicial,3,4
5,0.0,ODB,ocupacion_inicial,4,4
5,0.0,LCG,ocupacion_inicial,3,5
5,0.0,ABC,ocupacion_inicial,4,4
5,0.0,AEI,ocupacion_inicial,3,4
5,0.0,RGS,ocupacion_inicial,4,4
5,0.0,JCU,ocupacion_inicial,3,4
5,0.0,GRO,ocupacion_inicial,4,4
5,0.0,HSK,ocupacion_inicial,4,4
5,0.0,LEN,ocupacion_inicial,2,4
5,0.0,RJL,ocupacion_inicial,3,4
5,0.0,MCV,ocupacion_inicial,4,4
5,0.0,MLN,ocupacion_inicial,2,4
5,0.0,MJV,ocupacion_inicial,4,4
5,0.0,PMI,ocupacion_inicial,1,11
5,0.0,PNA,ocupacion_inicial,3,4
5,0.0,REU,ocupacion_inicial,4,4
5,0.0,QSA,ocupacion_inicial,4,4
5,0.0,SBO,ocupacion_inicial,3,4
5,0.0,VIT,ocupacion_inicial,2,4
5,0.0,ZAZ,ocupacion_inicial,3,4
5,90.0,PMI,ext_llegada,2,11
5,90.0,PMI,ext_llegada,3,11
5,90.0,PMI,ext_llegada,4,11
5,92.0,ALC,ext_llegada,1,6
5,92.0,ALC,ext_llegada,2,6
5,92.0,ALC,ext_llegada,3,6
5,92.0,ALC,ext_llegada,4,6
5,92.0,ALC,ext_llegada,5,6
5,92.0,FUE,ext_llegada,1,6
5,92.0,FUE,ext_llegada,2,6
5,92.0,FUE,ext_llegada,3,6
5,92.0,FUE,ext_llegada,4,6
5,92.0,FUE,ext_llegada,5,6
5,93.0,MAH,ext_llegada,1,6
5,93.0,MAH,ext_llegada,2,6
5,94.0,SVQ,ext_llegada,1,8
5,94.0,SVQ,ext_llegada,2,8
5,100.0,IBZ,ext_llegada,1,7
5,101.0,LPA,ext_llegada,1,10
5,101.0,LPA,ext_llegada,2,10
5,101.0,LPA,ext_llegada,3,10
5,101.0,LPA,ext_llegada,4,10
5,102.0,VLC,ext_llegada,1,6
5,104.0,BCN,ext_llegada,1,15
5,104.0,BCN,ext_llegada,2,15
5,104.0,BCN,ext_llegada,3,15
5,104.0,BCN,ext_llegada,4,15
5,115.0,MAH,ext_salida,1,6
5,115.0,MAH,ext_salida,0,6
5,117.0,SVQ,ext_salida,1,8
5,117.0,SVQ,ext_salida,0,8
5,120.0,ACE,ext_llegada,1,6
5,126.0,FUE,ext_salida,4,6
5,126.0,FUE,ext_salida,3,6
5,126.0,FUE,ext_salida,2,6
5,126.0,FUE,ext_salida,1,6
5,126.0,FUE,ext_salida,0,6
5,126.0,BCN,ext_salida,3,15
5,126.0,BCN,ext_salida,2,15
5,126.0,BCN,ext_salida,1,15
5,126.0,BCN,ext_salida,0,15
5,127.0,ALC,ext_salida,4,6
5,127.0,ALC,ext_salida,3,6
5,127.0,ALC,ext_salida,2,6
5,127.0,ALC,ext_salida,1,6
5,127.0,ALC,ext_salida,0,6
5,128.0,LPA,ext_salida,3,10
5,128.0,LPA,ext_salida,2,10
5,128.0,LPA,ext_salida,1,10
5,128.0,LPA,ext_salida,0,10
5,130.0,PMI,ext_salida,3,11
5,130.0,PMI,ext_salida,2,11
5,130.0,PMI,ext_salida,1,11
5,135.0,SCQ,ext_llegada,1,6
5,135.0,SCQ,ext_llegada,2,6
5,135.0,SCQ,ext_llegada,3,6
5,136.0,IBZ,ext_salida,0,7
5,139.0,VLC,ext_salida,0,6
5,146.0,MAD,ext_llegada,1,18
5,146.0,MAD,ext_llegada,2,18
5,156.0,ACE,ext_salida,0,6
5,164.0,TFN,ext_llegada,1,9
5,164.0,TFN,ext_llegada,2,9
5,164.0,TFN,ext_llegada,3,9
5,164.0,TFN,ext_llegada,4,9
5,170.0,SCQ,ext_salida,2,6
5,170.0,SCQ,ext_salida,1,6
5,170.0,SCQ,ext_salida,0,6
5,175.0,AGP,ext_llegada,1,7
5,178.0,BIO,ext_llegada,1,7
5,186.0,MAD,ext_salida,1,18
5,186.0,MAD,ext_salida,0,18
5,198.0,BIO,ext_salida,0,7
5,200.0,TFN,ext_salida,3,9
5,200.0,TFN,ext_salida,2,9
5,200.0,TFN,ext_salida,1,9
5,200.0,TFN,ext_salida,0,9
5,211.0,AGP,ext_salida,0,7
5,221.0,BCN,ext_llegada,1,15
5,221.0,BCN,ext_llegada,2,15
5,221.0,BCN,ext_llegada,3,15
5,221.0,BCN,ext_llegada,4,15
5,228.0,PMI,ext_llegada,2,11
5,246.0,BCN,ext_salida,3,15
5,246.0,BCN,ext_salida,2,15
5,246.0,BCN,ext_salida,1,15
5,246.0,BCN,ext_salida,0,15
5,250.0,PMI,ext_salida,1,11
5,251.0,ALC,ext_llegada,1,6
5,251.0,ALC,ext_llegada,2,6
5,263.0,VLC,ext_llegada,1,6
5,263.0,VLC,ext_llegada,2,6
5,263.0,VLC,ext_llegada,3,6
5,263.0,VLC,ext_llegada,4,6
5,263.0,VLC,ext_llegada,5,6
5,271.0,IBZ,ext_llegada,1,7
5,271.0,IBZ,ext_llegada,2,7
5,271.0,ACE,ext_llegada,1,6
5,271.0,ACE,ext_llegada,2,6
5,271.0,ACE,ext_llegada,3,6
5,273.0,ALC,ext_salida,1,6
5,273.0,ALC,ext_salida,0,6
5,281.0,MAH,ext_llegada,1,6
5,281.0,MAH,ext_llegada,2,6
5,289.0,LPA,ext_llegada,1,10
5,289.0,LPA,ext_llegada,2,10
5,289.0,LPA,ext_llegada,3,10
5,289.0,LPA,ext_llegada,4,10
5,289.0,VLC,ext_salida,4,6
5,289.0,VLC,ext_salida,3,6
5,289.0,VLC,ext_salida,2,6
5,289.0,VLC,ext_salida,1,6
5,289.0,VLC,ext_salida,0,6
5,290.0,FUE,ext_llegada,1,6
5,290.0,FUE,ext_llegada,2,6
5,290.0,FUE,ext_llegada,3,6
5,291.0,IBZ,ext_salida,1,7
5,291.0,IBZ,ext_salida,0,7
5,293.0,SVQ,ext_llegada,1,8
5,293.0,SVQ,ext_llegada,2,8
5,293.0,SVQ,ext_llegada,3,8
5,294.0,ACE,ext_salida,2,6
5,294.0,ACE,ext_salida,1,6
5,294.0,ACE,ext_salida,0,6
5,306.0,BIO,ext_llegada,1,7
5,306.0,BIO,ext_llegada,2,7
5,310.0,MAH,ext_salida,1,6
5,310.0,MAH,ext_salida,0,6
5,310.0,LPA,ext_salida,3,10
5,310.0,LPA,ext_salida,2,10
5,310.0,LPA,ext_salida,1,10
5,310.0,LPA,ext_salida,0,10
5,311.0,FUE,ext_salida,2,6
5,311.0,FUE,ext_salida,1,6
5,311.0,FUE,ext_salida,0,6
