dia,minuto,aeropuerto,evento,ocupacion,capacidad
11,0.0,XRY,ocupacion_inicial,2,4
11,0.0,VGO,ocupacion_inicial,2,5
11,0.0,BJZ,ocupacion_inicial,3,4
11,0.0,GRX,ocupacion_inicial,2,5
11,0.0,LEI,ocupacion_inicial,1,4
11,0.0,SLM,ocupacion_inicial,3,4
11,0.0,SPC,ocupacion_inicial,1,5
11,0.0,GMZ,ocupacion_inicial,3,4
11,0.0,TFS,ocupacion_inicial,2,5
11,0.0,VDE,ocupacion_inicial,2,4
11,0.0,OVD,ocupacion_inicial,1,5
11,0.0,VLL,ocupacion_inicial,3,4
11,0.0,SDR,ocupacion_inicial,3,4
11,0.0,EAS,ocupacion_inicial,2,4
11,0.0,ODB,ocupacion_inicial,4,4
11,0.0,LCG,ocupacion_inicial,3,5
11,0.0,ABC,ocupacion_inicial,4,4
11,0.0,AEI,ocupacion_inicial,3,4
11,0.0,RGS,ocupacion_inicial,4,4
11,0.0,JCU,ocupacion_inicial,3,4
11,0.0,GRO,ocupacion_inicial,3,4
11,0.0,HSK,ocupacion_inicial,4,4
11,0.0,LEN,ocupacion_inicial,2,4
11,0.0,RJL,ocupacion_inicial,3,4
11,0.0,MCV,ocupacion_inicial,4,4
11,0.0,MLN,ocupacion_inicial,1,4
11,0.0,MJV,ocupacion_inicial,4,4
11,0.0,PNA,ocupacion_inicial,3,4
11,0.0,REU,ocupacion_inicial,4,4
11,0.0,QSA,ocupacion_inicial,4,4
11,0.0,SBO,ocupacion_inicial,3,4
11,0.0,VIT,ocupacion_inicial,2,4
11,0.0,ZAZ,ocupacion_inicial,2,4
11,90.0,PMI,ext_llegada,1,11
11,90.0,PMI,ext_llegada,2,11
11,90.0,PMI,ext_llegada,3,11
11,92.0,ALC,ext_llegada,1,6
11,92.0,ALC,ext_llegada,2,6
11,92.0,ALC,ext_llegada,3,6
11,92.0,ALC,ext_llegada,4,6
11,92.0,ALC,ext_llegada,5,6
11,92.0,FUE,ext_llegada,1,6
11,92.0,FUE,ext_llegada,2,6
11,92.0,FUE,ext_llegada,3,6
11,92.0,FUE,ext_llegada,4,6
11,92.0,FUE,ext_llegada,5,6
11,93.0,MAH,ext_llegada,1,6
11,93.0,MAH,ext_llegada,2,6
11,94.0,SVQ,ext_llegada,1,8
11,94.0,SVQ,ext_llegada,2,8
11,100.0,IBZ,ext_llegada,1,7
11,101.0,LPA,ext_llegada,1,10
11,101.0,LPA,ext_llegada,2,10
11,101.0,LPA,ext_llegada,3,10
11,101.0,LPA,ext_llegada,4,10
11,102.0,VLC,ext_llegada,1,6
11,104.0,BCN,ext_llegada,1,15
11,104.0,BCN,ext_llegada,2,15
11,104.0,BCN,ext_llegada,3,15
11,104.0,BCN,ext_llegada,4,15
11,115.0,MAH,ext_salida,1,6
11,115.0,MAH,ext_salida,0,6
11,117.0,SVQ,ext_salida,1,8
11,117.0,SVQ,ext_salida,0,8
11,120.0,ACE,ext_llegada,1,6
11,126.0,FUE,ext_salida,4,6
11,126.0,FUE,ext_salida,3,6
11,126.0,FUE,ext_salida,2,6
11,126.0,FUE,ext_salida,1,6
11,126.0,FUE,ext_salida,0,6
11,126.0,BCN,ext_salida,3,15
11,126.0,BCN,ext_salida,2,15
11,126.0,BCN,ext_salida,1,15
11,126.0,BCN,ext_salida,0,15
11,127.0,ALC,ext_salida,4,6
11,127.0,ALC,ext_salida,3,6
11,127.0,ALC,ext_salida,2,6
11,127.0,ALC,ext_salida,1,6
11,127.0,ALC,ext_salida,0,6
11,128.0,LPA,ext_salida,3,10
11,128.0,LPA,ext_salida,2,10
11,128.0,LPA,ext_salida,1,10
11,128.0,LPA,ext_salida,0,10
11,130.0,PMI,ext_salida,2,11
11,130.0,PMI,ext_salida,1,11
11,130.0,PMI,ext_salida,0,11
11,135.0,SCQ,ext_llegada,1,6
11,135.0,SCQ,ext_llegada,2,6
11,135.0,SCQ,ext_llegada,3,6
11,136.0,IBZ,ext_salida,0,7
11,139.0,VLC,ext_salida,0,6
11,146.0,MAD,ext_llegada,1,18
11,146.0,MAD,ext_llegada,2,18
11,156.0,ACE,ext_salida,0,6
11,164.0,TFN,ext_llegada,1,9
11,164.0,TFN,ext_llegada,2,9
11,164.0,TFN,ext_llegada,3,9
11,164.0,TFN,ext_llegada,4,9
11,170.0,SCQ,ext_salida,2,6
11,170.0,SCQ,ext_salida,1,6
11,170.0,SCQ,ext_salida,0,6
11,175.0,AGP,ext_llegada,1,7
11,178.0,BIO,ext_llegada,1,7
11,186.0,MAD,ext_salida,1,18
11,186.0,MAD,ext_salida,0,18
11,198.0,BIO,ext_salida,0,7
11,200.0,TFN,ext_salida,3,9
11,200.0,TFN,ext_salida,2,9
11,200.0,TFN,ext_salida,1,9
11,200.0,TFN,ext_salida,0,9
11,211.0,AGP,ext_salida,0,7
11,221.0,BCN,ext_llegada,1,15
11,221.0,BCN,ext_llegada,2,15
11,221.0,BCN,ext_llegada,3,15
11,221.0,BCN,ext_llegada,4,15
11,228.0,PMI,ext_llegada,1,11
11,246.0,BCN,ext_salida,3,15
11,246.0,BCN,ext_salida,2,15
11,246.0,BCN,ext_salida,1,15
11,246.0,BCN,ext_salida,0,15
11,250.0,PMI,ext_salida,0,11
11,251.0,ALC,ext_llegada,1,6
11,251.0,ALC,ext_llegada,2,6
11,263.0,VLC,ext_llegada,1,6
11,263.0,VLC,ext_llegada,2,6
11,263.0,VLC,ext_llegada,3,6
11,263.0,VLC,ext_llegada,4,6
11,263.0,VLC,ext_llegada,5,6
11,271.0,IBZ,ext_llegada,1,7
11,271.0,IBZ,ext_llegada,2,7
11,271.0,ACE,ext_llegada,1,6
11,271.0,ACE,ext_llegada,2,6
11,271.0,ACE,ext_llegada,3,6
11,273.0,ALC,ext_salida,1,6
11,273.0,ALC,ext_salida,0,6
11,281.0,MAH,ext_llegada,1,6
11,281.0,MAH,ext_llegada,2,6
11,289.0,LPA,ext_llegada,1,10
11,289.0,LPA,ext_llegada,2,10
11,289.0,LPA,ext_llegada,3,10
11,289.0,LPA,ext_llegada,4,10
11,289.0,VLC,ext_salida,4,6
11,289.0,VLC,ext_salida,3,6
11,289.0,VLC,ext_salida,2,6
11,289.0,VLC,ext_salida,1,6
11,289.0,VLC,ext_salida,0,6
11,290.0,FUE,ext_llegada,1,6
11,290.0,FUE,ext_llegada,2,6
11,290.0,FUE,ext_llegada,3,6
11,291.0,IBZ,ext_salida,1,7
11,291.0,IBZ,ext_salida,0,7
11,293.0,SVQ,ext_llegada,1,8
11,293.0,SVQ,ext_llegada,2,8
11,293.0,SVQ,ext_llegada,3,8
11,294.0,ACE,ext_salida,2,6
11,294.0,ACE,ext_salida,1,6
11,294.0,ACE,ext_salida,0,6
11,306.0,BIO,ext_llegada,1,7
11,306.0,BIO,ext_llegada,2,7
11,310.0,MAH,ext_salida,1,6
11,310.0,MAH,ext_salida,0,6
11,310.0,LPA,ext_salida,3,10
11,310.0,LPA,ext_salida,2,10
11,310.0,LPA,ext_salida,1,10
11,310.0,LPA,ext_salida,0,10
11,311.0,FUE,ext_salida,2,6
11,311.0,FUE,ext_salida,1,6
11,311.0,FUE,ext_salida,0,6
11,317.0,SVQ,ext_salida,2,8
11,317.0,SVQ,ext_salida,1,8
11,317.0,SVQ,ext_salida,0,8
11,318.0,MAD,ext_llegada,1,18
11,318.0,MAD,ext_llegada,2,18
11,318.0,MAD,ext_llegada,3,18
11,318.0,MAD,ext_llegada,4,18
11,340.0,BIO,ext_salida,1,7
11,340.0,BIO,ext_salida,0,7
11,345.0,SCQ,ext_llegada,1,6
11,345.0,SCQ,ext_llegada,2,6
11,345.0,SCQ,ext_llegada,3,6
11,345.0,SCQ,ext_llegada,4,6
11,348.0,MAD,ext_salida,3,18
11,348.0,MAD,ext_salida,2,18
11,348.0,MAD,ext_salida,1,18
11,348.0,MAD,ext_salida,0,18
11,361.0,AGP,ext_llegada,1,7
11,361.0,AGP,ext_llegada,2,7
11,361.0,AGP,ext_llegada,3,7
11,361.0,AGP,ext_llegada,4,7
11,380.0,TFN,ext_llegada,1,9
11,380.0,TFN,ext_llegada,2,9
11,380.0,SCQ,ext_salida,3,6
11,380.0,SCQ,ext_salida,2,6
11,380.0,SCQ,ext_salida,1,6
11,380.0,SCQ,ext_salida,0,6
11,400.0,AGP,ext_salida,3,7
11,400.0,AGP,ext_salida,2,7
11,400.0,AGP,ext_salida,1,7
11,400.0,AGP,ext_salida,0,7
11,403.0,PMI,ext_llegada,1,11
11,403.0,PMI,ext_llegada,2,11
11,403.0,PMI,ext_llegada,3,11
11,403.0,IBZ,ext_llegada,1,7
11,405.0,MAH,ext_llegada,1,6
11,405.0,MAH,ext_llegada,2,6
11,405.0,MAH,ext_llegada,3,6
11,405.0,MAH,ext_llegada,4,6
11,411.0,BCN,ext_llegada,1,15
11,414.0,TFN,ext_salida,1,9
11,414.0,TFN,ext_salida,0,9
11,422.0,ACE,ext_llegada,1,6
11,422.0,ACE,ext_llegada,2,6
11,422.0,ACE,ext_llegada,3,6
11,422.0,ACE,ext_llegada,4,6
11,428.0,IBZ,ext_salida,0,7
11,430.0,ALC,ext_llegada,1,6
11,430.0,ALC,ext_llegada,2,6
11,430.0,ALC,ext_llegada,3,6
11,431.0,PMI,ext_salida,2,11
11,431.0,PMI,ext_salida,1,11
11,431.0,PMI,ext_salida,0,11
11,432.0,VLC,ext_llegada,1,6
11,432.0,VLC,ext_llegada,2,6
11,432.0,VLC,ext_llegada,3,6
11,438.0,MAH,ext_salida,3,6
11,438.0,MAH,ext_salida,2,6
11,438.0,MAH,ext_salida,1,6
11,438.0,MAH,ext_salida,0,6
11,443.0,MAD,ext_llegada,1,18
11,443.0,MAD,ext_llegada,2,18
11,447.0,BCN,ext_salida,0,15
11,450.0,FUE,ext_llegada,1,6
11,450.0,FUE,ext_llegada,2,6
11,451.0,SVQ,ext_llegada,1,8
11,451.0,SVQ,ext_llegada,2,8
11,451.0,SVQ,ext_llegada,3,8
11,451.0,SVQ,ext_llegada,4,8
11,454.0,ACE,ext_salida,3,6
11,454.0,ACE,ext_salida,2,6
11,454.0,ACE,ext_salida,1,6
11,454.0,ACE,ext_salida,0,6
11,455.0,VLC,ext_salida,2,6
11,455.0,VLC,ext_salida,1,6
11,455.0,VLC,ext_salida,0,6
11,470.0,ALC,ext_salida,2,6
11,470.0,ALC,ext_salida,1,6
11,470.0,ALC,ext_salida,0,6
11,472.0,LPA,ext_llegada,1,10
11,473.0,SVQ,ext_salida,3,8
11,473.0,SVQ,ext_salida,2,8
11,473.0,SVQ,ext_salida,1,8
11,473.0,SVQ,ext_salida,0,8
11,480.0,FUE,ext_salida,1,6
11,480.0,FUE,ext_salida,0,6
11,481.0,MAD,ext_salida,1,18
11,481.0,MAD,ext_salida,0,18
11,501.0,LPA,ext_salida,0,10
11,504.0,BIO,ext_llegada,1,7
11,504.0,BIO,ext_llegada,2,7
11,504.0,BIO,ext_llegada,3,7
11,517.0,TFN,ext_llegada,1,9
11,517.0,TFN,ext_llegada,2,9
11,517.0,TFN,ext_llegada,3,9
11,517.0,TFN,ext_llegada,4,9
11,533.0,BIO,ext_salida,2,7
11,533.0,BIO,ext_salida,1,7
11,533.0,BIO,ext_salida,0,7
11,536.0,SCQ,ext_llegada,1,6
11,536.0,SCQ,ext_llegada,2,6
11,536.0,SCQ,ext_llegada,3,6
11,539.0,TFN,ext_salida,3,9
