dia,minuto,aeropuerto,evento,ocupacion,capacidad
17,0.0,XRY,ocupacion_inicial,2,4
17,0.0,VGO,ocupacion_inicial,2,5
17,0.0,BJZ,ocupacion_inicial,3,4
17,0.0,GRX,ocupacion_inicial,2,5
17,0.0,LEI,ocupacion_inicial,1,4
17,0.0,SLM,ocupacion_inicial,3,4
17,0.0,SPC,ocupacion_inicial,1,5
17,0.0,GMZ,ocupacion_inicial,3,4
17,0.0,TFS,ocupacion_inicial,2,5
17,0.0,VDE,ocupacion_inicial,2,4
17,0.0,OVD,ocupacion_inicial,1,5
17,0.0,VLL,ocupacion_inicial,2,4
17,0.0,SDR,ocupacion_inicial,2,4
17,0.0,EAS,ocupacion_inicial,2,4
17,0.0,ODB,ocupacion_inicial,4,4
17,0.0,LCG,ocupacion_inicial,2,5
17,0.0,ABC,ocupacion_inicial,4,4
17,0.0,AEI,ocupacion_inicial,3,4
17,0.0,RGS,ocupacion_inicial,3,4
17,0.0,JCU,ocupacion_inicial,3,4
17,0.0,GRO,ocupacion_inicial,3,4
17,0.0,HSK,ocupacion_inicial,4,4
17,0.0,LEN,ocupacion_inicial,2,4
17,0.0,RJL,ocupacion_inicial,3,4
17,0.0,MCV,ocupacion_inicial,4,4
17,0.0,MLN,ocupacion_inicial,1,4
17,0.0,MJV,ocupacion_inicial,4,4
17,0.0,PNA,ocupacion_inicial,3,4
17,0.0,REU,ocupacion_inicial,4,4
17,0.0,QSA,ocupacion_inicial,4,4
17,0.0,SBO,ocupacion_inicial,3,4
17,0.0,VIT,ocupacion_inicial,2,4
17,0.0,ZAZ,ocupacion_inicial,2,4
17,90.0,PMI,ext_llegada,1,11
17,90.0,PMI,ext_llegada,2,11
17,90.0,PMI,ext_llegada,3,11
17,92.0,ALC,ext_llegada,1,6
17,92.0,ALC,ext_llegada,2,6
17,92.0,ALC,ext_llegada,3,6
17,92.0,ALC,ext_llegada,4,6
17,92.0,ALC,ext_llegada,5,6
17,92.0,FUE,ext_llegada,1,6
17,92.0,FUE,ext_llegada,2,6
17,92.0,FUE,ext_llegada,3,6
17,92.0,FUE,ext_llegada,4,6
17,92.0,FUE,ext_llegada,5,6
17,93.0,MAH,ext_llegada,1,6
17,93.0,MAH,ext_llegada,2,6
17,94.0,SVQ,ext_llegada,1,8
17,94.0,SVQ,ext_llegada,2,8
17,100.0,IBZ,ext_llegada,1,7
17,101.0,LPA,ext_llegada,1,10
17,101.0,LPA,ext_llegada,2,10
17,101.0,LPA,ext_llegada,3,10
17,101.0,LPA,ext_llegada,4,10
17,102.0,VLC,ext_llegada,1,6
17,104.0,BCN,ext_llegada,1,15
17,104.0,BCN,ext_llegada,2,15
17,104.0,BCN,ext_llegada,3,15
17,104.0,BCN,ext_llegada,4,15
17,115.0,MAH,ext_salida,1,6
17,115.0,MAH,ext_salida,0,6
17,117.0,SVQ,ext_salida,1,8
17,117.0,SVQ,ext_salida,0,8
17,120.0,ACE,ext_llegada,1,6
17,126.0,FUE,ext_salida,4,6
17,126.0,FUE,ext_salida,3,6
17,126.0,FUE,ext_salida,2,6
17,126.0,FUE,ext_salida,1,6
17,126.0,FUE,ext_salida,0,6
17,126.0,BCN,ext_salida,3,15
17,126.0,BCN,ext_salida,2,15
17,126.0,BCN,ext_salida,1,15
17,126.0,BCN,ext_salida,0,15
17,127.0,ALC,ext_salida,4,6
17,127.0,ALC,ext_salida,3,6
17,127.0,ALC,ext_salida,2,6
17,127.0,ALC,ext_salida,1,6
17,127.0,ALC,ext_salida,0,6
17,128.0,LPA,ext_salida,3,10
17,128.0,LPA,ext_salida,2,10
17,128.0,LPA,ext_salida,1,10
17,128.0,LPA,ext_salida,0,10
17,130.0,PMI,ext_salida,2,11
17,130.0,PMI,ext_salida,1,11
17,130.0,PMI,ext_salida,0,11
17,135.0,SCQ,ext_llegada,1,6
17,135.0,SCQ,ext_llegada,2,6
17,135.0,SCQ,ext_llegada,3,6
17,136.0,IBZ,ext_salida,0,7
17,139.0,VLC,ext_salida,0,6
17,146.0,MAD,ext_llegada,1,18
17,146.0,MAD,ext_llegada,2,18
17,156.0,ACE,ext_salida,0,6
17,164.0,TFN,ext_llegada,1,9
17,164.0,TFN,ext_llegada,2,9
17,164.0,TFN,ext_llegada,3,9
17,164.0,TFN,ext_llegada,4,9
17,170.0,SCQ,ext_salida,2,6
17,170.0,SCQ,ext_salida,1,6
17,170.0,SCQ,ext_salida,0,6
17,175.0,AGP,ext_llegada,1,7
17,178.0,BIO,ext_llegada,1,7
17,186.0,MAD,ext_salida,1,18
17,186.0,MAD,ext_salida,0,18
17,198.0,BIO,ext_salida,0,7
17,200.0,TFN,ext_salida,3,9
17,200.0,TFN,ext_salida,2,9
17,200.0,TFN,ext_salida,1,9
17,200.0,TFN,ext_salida,0,9
17,211.0,AGP,ext_salida,0,7
17,221.0,BCN,ext_llegada,1,15
17,221.0,BCN,ext_llegada,2,15
17,221.0,BCN,ext_llegada,3,15
17,221.0,BCN,ext_llegada,4,15
17,228.0,PMI,ext_llegada,1,11
17,246.0,BCN,ext_salida,3,15
17,246.0,BCN,ext_salida,2,15
17,246.0,BCN,ext_salida,1,15
17,246.0,BCN,ext_salida,0,15
17,250.0,PMI,ext_salida,0,11
17,251.0,ALC,ext_llegada,1,6
17,251.0,ALC,ext_llegada,2,6
17,263.0,VLC,ext_llegada,1,6
17,263.0,VLC,ext_llegada,2,6
17,263.0,VLC,ext_llegada,3,6
17,263.0,VLC,ext_llegada,4,6
17,263.0,VLC,ext_llegada,5,6
17,271.0,IBZ,ext_llegada,1,7
17,271.0,IBZ,ext_llegada,2,7
17,271.0,ACE,ext_llegada,1,6
17,271.0,ACE,ext_llegada,2,6
17,271.0,ACE,ext_llegada,3,6
17,273.0,ALC,ext_salida,1,6
17,273.0,ALC,ext_salida,0,6
17,281.0,MAH,ext_llegada,1,6
17,281.0,MAH,ext_llegada,2,6
17,289.0,LPA,ext_llegada,1,10
17,289.0,LPA,ext_llegada,2,10
17,289.0,LPA,ext_llegada,3,10
17,289.0,LPA,ext_llegada,4,10
17,289.0,VLC,ext_salida,4,6
17,289.0,VLC,ext_salida,3,6
17,289.0,VLC,ext_salida,2,6
17,289.0,VLC,ext_salida,1,6
17,289.0,VLC,ext_salida,0,6
17,290.0,FUE,ext_llegada,1,6
17,290.0,FUE,ext_llegada,2,6
17,290.0,FUE,ext_llegada,3,6
17,291.0,IBZ,ext_salida,1,7
17,291.0,IBZ,ext_salida,0,7
17,293.0,SVQ,ext_llegada,1,8
17,293.0,SVQ,ext_llegada,2,8
17,293.0,SVQ,ext_llegada,3,8
17,294.0,ACE,ext_salida,2,6
17,294.0,ACE,ext_salida,1,6
17,294.0,ACE,ext_salida,0,6
17,306.0,BIO,ext_llegada,1,7
17,306.0,BIO,ext_llegada,2,7
17,310.0,MAH,ext_salida,1,6
17,310.0,MAH,ext_salida,0,6
17,310.0,LPA,ext_salida,3,10
17,310.0,LPA,ext_salida,2,10
